Site,PlotID,num_burn,preFireName,preFireYear,crrnFRI,mdnRFRI,mnPFRID,mCC_FRI,PFR,ppt,tmean,elevation,slope,aspect_degrees,hli,Distance_km,TSLF,cool_warm_slope
Bobcat,BOB001,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,365,13.80846571,86.24472342,0.625570058,33,2,cool
Bobcat,BOB002,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,371,22.47966373,81.04804046,0.532251368,33,2,cool
Bobcat,BOB003,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,382,22.2482833,92.25520606,0.578553484,33,2,cool
Bobcat,BOB004,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,382,19.21938265,198.8106702,0.921817222,33,2,warm
Bobcat,BOB005,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,362,29.68425609,221.5520717,0.917361542,33,2,warm
Bobcat,BOB006,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,710.2400513,16.73000145,325,9.61079366,183.4596732,0.83246068,32,2,warm
Bobcat,BOB007,3,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,298,21.4867743,33.03770751,0.469349769,33,2,cool
Bobcat,BOB008,3,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,736.6400146,15.83000088,328,30.16901482,14.24839182,0.440777247,33,2,cool
Bobcat,BOB009,3,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,442,15.48785931,158.3553538,0.849216221,33,2,warm
Bobcat,BOB010,3,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,431,10.99886977,92.37337073,0.662529461,33,2,cool
Bobcat,BOB011,4,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,453,12.95139591,102.1216972,0.677212706,33,2,cool
Bobcat,BOB012,4,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,768.092041,15.9800005,404,17.13345716,95.99454015,0.631649018,33,2,cool
Bobcat,BOB013,4,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,267,28.84809216,105.2485091,0.592366481,33,2,cool
Bobcat,BOB014,4,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,430,20.71848035,91.21931663,0.586582157,33,2,cool
Bobcat,BOB015,4,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,272,25.19357136,91.96096673,0.553401812,33,2,cool
Bobcat,BOB016,4,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,279,26.7541398,72.34147491,0.460294112,33,2,cool
Bobcat,BOB017,4,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,321,31.93748885,117.6991734,0.646602477,33,2,warm
Bobcat,BOB018,3,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,768.092041,15.9800005,395,27.66771849,83.83105201,0.49642543,33,2,cool
Bobcat,BOB019,5,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,710.2400513,16.73000145,314,29.3213221,60.84175126,0.398796512,32,2,cool
CacheCreek,CCC001,1,NA,1950,56,13,48.67,2,oak woodland,667.3500366,16.21000099,320,21.55317077,12.01001586,0.529856522,67,70,cool
CacheCreek,CCC002,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,699.5210571,16.55000114,513,30.15490236,355.9442729,0.522526463,67,70,cool
CacheCreek,CCC003,1,NA,1950,56,13,48.67,2,oak woodland,684.7080078,16.3200016,426,21.15311446,259.2099268,0.938585912,67,70,warm
CacheCreek,CCC004,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,699.5210571,16.55000114,453,25.83624197,327.9684841,0.703870319,67,70,cool
CacheCreek,CCC005,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,699.5210571,16.55000114,541,30.41034182,266.068433,0.982594434,67,70,warm
CacheCreek,CCC006,1,NA,1950,56,59,2.65,1,chaparral and serotinous conifer,699.5210571,16.55000114,523,23.63613888,235.2411234,0.922606376,67,70,warm
CacheCreek,CCC007,6,sixteen_complex,2012,13,59,-77.17,-3,chaparral and serotinous conifer,626.3870239,16.04000092,429,23.35426147,87.86349078,0.551121455,68,8,cool
CacheCreek,CCC008,6,sixteen_complex,2012,13,12,4.42,1,oak woodland,626.3870239,16.04000092,423,31.78972905,95.96329112,0.519459372,69,8,cool
CacheCreek,CCC009,6,sixteen_complex,2012,11,12,-5.83,-1,oak woodland,626.3870239,16.04000092,431,36.54926737,93.73522825,0.468871564,69,8,cool
