PlotID,spp,year,sum.count.5m2,presence
CCC004,ADFA,2021,0,0
CCC004,ADFA,2022,0,0
CCC004,ARCMAN,2021,0,0
CCC004,ARCMAN,2022,0,0
CCC004,CEACUN,2021,0,0
CCC004,CEACUN,2022,0,0
CCC004,CEAOLI,2021,74,5
CCC004,CEAOLI,2022,0,0
CCC004,CERBET,2021,0,0
CCC004,CERBET,2022,0,0
CCC004,ERICAL,2021,6,3
CCC004,ERICAL,2022,0,0
CCC004,ERINUD,2021,0,0
CCC004,ERINUD,2022,0,0
CCC004,HEAR,2021,0,0
CCC004,HEAR,2022,0,0
CCC004,HOLDIS,2021,0,0
CCC004,HOLDIS,2022,0,0
CCC004,LEPCAL,2021,68,5
CCC004,LEPCAL,2022,3,2
CCC004,MIMAUR,2021,0,0
CCC004,MIMAUR,2022,0,0
CCC004,QUEBER,2021,0,0
CCC004,QUEBER,2022,0,0
CCC004,RHAILI,2021,0,0
CCC004,RHAILI,2022,0,0
CCC004,RIBMAL,2021,0,0
CCC004,RIBMAL,2022,0,0
CCC004,SYMALB,2021,0,0
CCC004,SYMALB,2022,0,0
CCC004,SYMMOL,2021,0,0
CCC004,SYMMOL,2022,0,0
CCC004,TOXDIV,2021,0,0
CCC004,TOXDIV,2022,0,0
CCC011,ADFA,2021,0,0
CCC011,ADFA,2022,6,2
CCC011,ARCMAN,2021,0,0
CCC011,ARCMAN,2022,0,0
CCC011,CEACUN,2021,1,1
CCC011,CEACUN,2022,0,0
CCC011,CEAOLI,2021,0,0
CCC011,CEAOLI,2022,0,0
CCC011,CERBET,2021,1,1
CCC011,CERBET,2022,0,0
CCC011,ERICAL,2021,0,0
CCC011,ERICAL,2022,1,1
CCC011,ERINUD,2021,0,0
CCC011,ERINUD,2022,0,0
CCC011,HEAR,2021,0,0
CCC011,HEAR,2022,0,0
CCC011,HOLDIS,2021,0,0
CCC011,HOLDIS,2022,0,0
CCC011,LEPCAL,2021,0,0
CCC011,LEPCAL,2022,0,0
CCC011,MIMAUR,2021,0,0
CCC011,MIMAUR,2022,0,0
CCC011,QUEBER,2021,0,0
CCC011,QUEBER,2022,0,0
CCC011,RHAILI,2021,0,0
CCC011,RHAILI,2022,0,0
CCC011,RIBMAL,2021,0,0
CCC011,RIBMAL,2022,0,0
CCC011,SYMALB,2021,0,0
CCC011,SYMALB,2022,0,0
CCC011,SYMMOL,2021,0,0
CCC011,SYMMOL,2022,0,0
CCC011,TOXDIV,2021,0,0
CCC011,TOXDIV,2022,0,0
COL014,ADFA,2021,0,0
COL014,ADFA,2022,0,0
COL014,ARCMAN,2021,0,0
COL014,ARCMAN,2022,0,0
COL014,CEACUN,2021,0,0
COL014,CEACUN,2022,0,0
COL014,CEAOLI,2021,0,0
COL014,CEAOLI,2022,0,0
COL014,CERBET,2021,0,0
COL014,CERBET,2022,0,0
COL014,ERICAL,2021,0,0
COL014,ERICAL,2022,0,0
COL014,ERINUD,2021,0,0
COL014,ERINUD,2022,0,0
COL014,HEAR,2021,0,0
COL014,HEAR,2022,0,0
COL014,HOLDIS,2021,0,0
COL014,HOLDIS,2022,0,0
COL014,LEPCAL,2021,0,0
COL014,LEPCAL,2022,0,0
COL014,MIMAUR,2021,0,0
COL014,MIMAUR,2022,0,0
COL014,QUEBER,2021,0,0
COL014,QUEBER,2022,0,0
COL014,RHAILI,2021,0,0
COL014,RHAILI,2022,0,0
COL014,RIBMAL,2021,0,0
COL014,RIBMAL,2022,0,0
COL014,SYMALB,2021,0,0
COL014,SYMALB,2022,0,0
COL014,SYMMOL,2021,0,0
COL014,SYMMOL,2022,0,0
COL014,TOXDIV,2021,0,0
COL014,TOXDIV,2022,0,0
BOB012,ADFA,2021,0,0
BOB012,ADFA,2022,0,0
BOB012,ARCMAN,2021,0,0
BOB012,ARCMAN,2022,0,0
BOB012,CEACUN,2021,0,0
BOB012,CEACUN,2022,0,0
BOB012,CEAOLI,2021,0,0
BOB012,CEAOLI,2022,0,0
BOB012,CERBET,2021,0,0
BOB012,CERBET,2022,0,0
BOB012,ERICAL,2021,0,0
BOB012,ERICAL,2022,3,1
BOB012,ERINUD,2021,0,0
BOB012,ERINUD,2022,0,0
BOB012,HEAR,2021,0,0
BOB012,HEAR,2022,0,0
BOB012,HOLDIS,2021,0,0
BOB012,HOLDIS,2022,0,0
BOB012,LEPCAL,2021,0,0
BOB012,LEPCAL,2022,0,0
BOB012,MIMAUR,2021,0,0
BOB012,MIMAUR,2022,0,0
BOB012,QUEBER,2021,0,0
BOB012,QUEBER,2022,0,0
BOB012,RHAILI,2021,0,0
BOB012,RHAILI,2022,0,0
BOB012,RIBMAL,2021,0,0
BOB012,RIBMAL,2022,0,0
BOB012,SYMALB,2021,0,0
BOB012,SYMALB,2022,0,0
BOB012,SYMMOL,2021,0,0
BOB012,SYMMOL,2022,0,0
BOB012,TOXDIV,2021,0,0
BOB012,TOXDIV,2022,0,0
BOB001,ADFA,2021,0,0
BOB001,ADFA,2022,0,0
BOB001,ARCMAN,2021,0,0
BOB001,ARCMAN,2022,0,0
BOB001,CEACUN,2021,0,0
BOB001,CEACUN,2022,0,0
BOB001,CEAOLI,2021,0,0
BOB001,CEAOLI,2022,0,0
BOB001,CERBET,2021,0,0
BOB001,CERBET,2022,0,0
BOB001,ERICAL,2021,0,0
BOB001,ERICAL,2022,18,2
BOB001,ERINUD,2021,0,0
BOB001,ERINUD,2022,0,0
BOB001,HEAR,2021,0,0
BOB001,HEAR,2022,0,0
BOB001,HOLDIS,2021,0,0
BOB001,HOLDIS,2022,0,0
BOB001,LEPCAL,2021,0,0
BOB001,LEPCAL,2022,0,0
BOB001,MIMAUR,2021,0,0
BOB001,MIMAUR,2022,0,0
BOB001,QUEBER,2021,0,0
BOB001,QUEBER,2022,0,0
BOB001,RHAILI,2021,0,0
BOB001,RHAILI,2022,0,0
BOB001,RIBMAL,2021,0,0
BOB001,RIBMAL,2022,0,0
BOB001,SYMALB,2021,0,0
BOB001,SYMALB,2022,0,0
BOB001,SYMMOL,2021,0,0
BOB001,SYMMOL,2022,0,0
BOB001,TOXDIV,2021,0,0
BOB001,TOXDIV,2022,0,0
BOB004,ADFA,2021,4,2
BOB004,ADFA,2022,3,2
BOB004,ARCMAN,2021,0,0
BOB004,ARCMAN,2022,0,0
BOB004,CEACUN,2021,0,0
BOB004,CEACUN,2022,0,0
BOB004,CEAOLI,2021,0,0
BOB004,CEAOLI,2022,0,0
BOB004,CERBET,2021,0,0
BOB004,CERBET,2022,0,0
BOB004,ERICAL,2021,0,0
BOB004,ERICAL,2022,0,0
BOB004,ERINUD,2021,0,0
BOB004,ERINUD,2022,0,0
BOB004,HEAR,2021,0,0
BOB004,HEAR,2022,0,0
BOB004,HOLDIS,2021,0,0
BOB004,HOLDIS,2022,0,0
BOB004,LEPCAL,2021,0,0
BOB004,LEPCAL,2022,0,0
BOB004,MIMAUR,2021,0,0
BOB004,MIMAUR,2022,0,0
BOB004,QUEBER,2021,0,0
BOB004,QUEBER,2022,0,0
BOB004,RHAILI,2021,0,0
BOB004,RHAILI,2022,0,0
BOB004,RIBMAL,2021,0,0
BOB004,RIBMAL,2022,0,0
BOB004,SYMALB,2021,0,0
BOB004,SYMALB,2022,0,0
BOB004,SYMMOL,2021,0,0
BOB004,SYMMOL,2022,0,0
BOB004,TOXDIV,2021,0,0
BOB004,TOXDIV,2022,0,0
BOB005,ADFA,2021,0,0
BOB005,ADFA,2022,0,0
BOB005,ARCMAN,2021,0,0
BOB005,ARCMAN,2022,0,0
BOB005,CEACUN,2021,0,0
BOB005,CEACUN,2022,0,0
BOB005,CEAOLI,2021,0,0
BOB005,CEAOLI,2022,0,0
BOB005,CERBET,2021,0,0
BOB005,CERBET,2022,0,0
BOB005,ERICAL,2021,0,0
BOB005,ERICAL,2022,11,1
BOB005,ERINUD,2021,0,0
BOB005,ERINUD,2022,0,0
BOB005,HEAR,2021,0,0
BOB005,HEAR,2022,0,0
BOB005,HOLDIS,2021,0,0
BOB005,HOLDIS,2022,0,0
BOB005,LEPCAL,2021,0,0
BOB005,LEPCAL,2022,0,0
BOB005,MIMAUR,2021,0,0
BOB005,MIMAUR,2022,0,0
BOB005,QUEBER,2021,0,0
BOB005,QUEBER,2022,0,0
BOB005,RHAILI,2021,0,0
BOB005,RHAILI,2022,0,0
BOB005,RIBMAL,2021,0,0
BOB005,RIBMAL,2022,0,0
BOB005,SYMALB,2021,0,0
BOB005,SYMALB,2022,0,0
BOB005,SYMMOL,2021,0,0
BOB005,SYMMOL,2022,0,0
BOB005,TOXDIV,2021,0,0
BOB005,TOXDIV,2022,0,0
BOB006,ADFA,2021,0,0
BOB006,ADFA,2022,0,0
BOB006,ARCMAN,2021,0,0
BOB006,ARCMAN,2022,0,0
BOB006,CEACUN,2021,0,0
BOB006,CEACUN,2022,0,0
BOB006,CEAOLI,2021,0,0
BOB006,CEAOLI,2022,0,0
BOB006,CERBET,2021,0,0
BOB006,CERBET,2022,0,0
BOB006,ERICAL,2021,0,0
BOB006,ERICAL,2022,21,3
BOB006,ERINUD,2021,0,0
BOB006,ERINUD,2022,0,0
BOB006,HEAR,2021,0,0
BOB006,HEAR,2022,0,0
BOB006,HOLDIS,2021,0,0
BOB006,HOLDIS,2022,0,0
BOB006,LEPCAL,2021,0,0
BOB006,LEPCAL,2022,0,0
BOB006,MIMAUR,2021,0,0
BOB006,MIMAUR,2022,0,0
BOB006,QUEBER,2021,0,0
BOB006,QUEBER,2022,0,0
BOB006,RHAILI,2021,0,0
BOB006,RHAILI,2022,0,0
BOB006,RIBMAL,2021,0,0
BOB006,RIBMAL,2022,0,0
BOB006,SYMALB,2021,0,0
BOB006,SYMALB,2022,0,0
BOB006,SYMMOL,2021,0,0
BOB006,SYMMOL,2022,0,0
BOB006,TOXDIV,2021,0,0
BOB006,TOXDIV,2022,0,0
BOB009,ADFA,2021,0,0
BOB009,ADFA,2022,0,0
BOB009,ARCMAN,2021,0,0
BOB009,ARCMAN,2022,0,0
BOB009,CEACUN,2021,0,0
BOB009,CEACUN,2022,0,0
BOB009,CEAOLI,2021,0,0
BOB009,CEAOLI,2022,0,0
BOB009,CERBET,2021,0,0
BOB009,CERBET,2022,0,0
BOB009,ERICAL,2021,0,0
BOB009,ERICAL,2022,12,2
BOB009,ERINUD,2021,0,0
BOB009,ERINUD,2022,0,0
BOB009,HEAR,2021,0,0
BOB009,HEAR,2022,0,0
BOB009,HOLDIS,2021,0,0
BOB009,HOLDIS,2022,0,0
BOB009,LEPCAL,2021,0,0
BOB009,LEPCAL,2022,0,0
BOB009,MIMAUR,2021,0,0
BOB009,MIMAUR,2022,0,0
BOB009,QUEBER,2021,0,0
BOB009,QUEBER,2022,0,0
BOB009,RHAILI,2021,0,0
BOB009,RHAILI,2022,0,0
BOB009,RIBMAL,2021,0,0
BOB009,RIBMAL,2022,0,0
BOB009,SYMALB,2021,0,0
BOB009,SYMALB,2022,0,0
BOB009,SYMMOL,2021,0,0
BOB009,SYMMOL,2022,0,0
BOB009,TOXDIV,2021,0,0
BOB009,TOXDIV,2022,0,0
BOB010,ADFA,2021,0,0
BOB010,ADFA,2022,0,0
BOB010,ARCMAN,2021,0,0
BOB010,ARCMAN,2022,0,0
BOB010,CEACUN,2021,0,0
BOB010,CEACUN,2022,0,0
BOB010,CEAOLI,2021,0,0
BOB010,CEAOLI,2022,0,0
BOB010,CERBET,2021,0,0
BOB010,CERBET,2022,0,0
BOB010,ERICAL,2021,0,0
BOB010,ERICAL,2022,2,1
BOB010,ERINUD,2021,0,0
