PlotID,year,native_rich,nonnative_rich
BOB001,2021,16,10
BOB001,2022,13,8
BOB002,2021,24,15
BOB002,2022,27,14
BOB003,2021,23,11
BOB003,2022,24,12
BOB004,2021,13,10
BOB004,2022,14,9
BOB005,2021,9,7
BOB005,2022,9,8
BOB006,2021,12,11
BOB006,2022,10,9
BOB007,2021,34,15
BOB007,2022,33,14
BOB008,2021,25,9
BOB008,2022,29,9
BOB009,2021,19,15
BOB009,2022,12,11
BOB010,2021,15,11
BOB010,2022,12,8
BOB011,2021,13,12
BOB011,2022,11,9
BOB012,2021,23,10
BOB012,2022,19,10
BOB013,2021,40,10
BOB013,2022,37,10
BOB014,2021,31,14
BOB014,2022,29,12
BOB015,2021,40,14
BOB015,2022,25,14
BOB016,2021,40,17
BOB016,2022,27,13
BOB017,2021,25,12
BOB017,2022,14,9
BOB018,2021,14,13
BOB018,2022,12,9
BOB019,2021,30,16
BOB019,2022,23,16
CCC001,2021,33,7
CCC001,2022,37,13
CCC002,2021,32,6
CCC002,2022,37,11
CCC003,2021,14,2
CCC003,2022,17,11
CCC004,2021,34,7
CCC004,2022,34,10
CCC005,2021,23,5
CCC005,2022,28,11
CCC006,2021,13,NA
CCC006,2022,17,10
CCC007,2021,30,9
CCC007,2022,30,9
CCC008,2021,31,9
CCC008,2022,31,11
CCC009,2021,22,7
CCC009,2022,23,9
CCC010,2021,42,10
CCC010,2022,34,12
CCC011,2021,40,9
CCC011,2022,38,9
CCC012,2021,39,10
CCC012,2022,24,11
COL007,2021,25,9
COL007,2022,30,7
COL012,2021,32,10
COL012,2022,32,9
COL013,2021,29,10
COL013,2022,27,10
COL014,2021,32,12
COL014,2022,33,13
COL017,2021,35,10
COL017,2022,35,10
COL018,2021,17,9
COL018,2022,16,8
QUA001,2021,16,7
QUA002,2021,21,4
QUA002,2022,11,10
QUA003,2021,14,6
QUA003,2022,16,8
QUA004,2021,19,6
QUA004,2022,22,13
QUA005,2021,19,6
QUA005,2022,21,8
QUA006,2021,14,4
QUA006,2022,22,14
QUA008,2021,17,7
QUA008,2022,19,12
QUA009,2021,11,7
QUA009,2022,10,6
QUA010,2021,16,7
QUA010,2022,14,8
QUA011,2021,17,6
QUA011,2022,19,9
QUA015,2021,29,13
QUA015,2022,24,12
QUA016,2021,31,11
QUA016,2022,31,13
QUA020,2021,26,11
QUA020,2022,29,12
QUA021,2021,23,7
QUA021,2022,27,10
QUA022,2021,24,13
QUA022,2022,21,19
QUA024,2022,30,11
QUA025,2022,16,7
