Site,PlotID,num_burn,burned,X_1,notes,preFireName,preFireYear,crrnFRI,mdnRFRI,mnPFRID,mCC_FRI,PFR,NOTES_1,ppt,tmean,elevation,elev_units,elevation.1,slope,aspect_degrees,northsouth,eastwest,hli,Distance_km,Geology,def,TSLF,TSLF_bin,aspect_name,cool_warm_slope
Bobcat,BOB001,5,Yes,10S,cool,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,365,meters,365,13.80846571,86.24472342,-0.148523012,-0.988908952,0.625570058,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,east,cool
Bobcat,BOB002,5,Yes,10S,cool,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,371,meters,371,22.47966373,81.04804046,0.806038371,-0.591863282,0.532251368,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,east,cool
Bobcat,BOB003,5,Yes,10S,cool,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,382,meters,382,22.2482833,92.25520606,-0.40938257,-0.912362818,0.578553484,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,east,cool
Bobcat,BOB004,5,Yes,10S,warm,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,382,meters,382,19.21938265,198.8106702,-0.62915321,-0.777281312,0.921817222,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,south,warm
Bobcat,BOB005,5,Yes,10S,warm,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,362,meters,362,29.68425609,221.5520717,-0.069733002,0.997565691,0.917361542,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,southwest,warm
Bobcat,BOB006,5,Yes,10S,warm,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,710.2400513,16.73000145,325,meters,325,9.61079366,183.4596732,0.317884145,0.948129564,0.83246068,32,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,south,warm
Bobcat,BOB007,3,Yes,10S,cool slope,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,298,meters,298,21.4867743,33.03770751,-0.050962561,0.998700564,0.469349769,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,northeast,cool
Bobcat,BOB008,3,Yes,10S,cool slope,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,NA,736.6400146,15.83000088,328,meters,328,30.16901482,14.24839182,-0.110995692,0.993820887,0.440777247,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,north,cool
Bobcat,BOB009,3,Yes,10S,warm slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,NA,768.092041,15.9800005,442,meters,442,15.48785931,158.3553538,0.290811796,0.956780277,0.849216221,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,south,warm
Bobcat,BOB010,3,Yes,10S,warm slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,NA,768.092041,15.9800005,431,meters,431,10.99886977,92.37337073,-0.298969473,-0.954262676,0.662529461,33,Ku,"Ku: Marine sedimentary and metasedimentary rocks (Upper Cretaceous) - Upper Cretaceous sandstone, shale, and conglomerate.",2,<10,east,cool
