"","plot_year","ACHMIL","ACMAME","ACMBRA","ACMWRA","AESCAL","AGOGRA","AIRCAR","ALLGIL","AMSMEN","LYSARV","ANTVEX","APHOCC","APIANG","ASCSOL","ASTER","ASTGAM","ATHPUS","AVEBAR","BRADIS","BRODIA","BRODIEA","BROHOR","BROMAD","CALAMA","CALBRE","CALMEN","CALPUR","CALSPL","CAMINT","CAMPANULACEAE","CAROLI","CARPYC","CASAFF","CASATT","CAULAS","CENMEL","CERGLO","CHLPOM","CIRSIUM","CLACON","CLAGRA","CLAPAR","CLAPUR","CLARKIA","CLAUNG","CLELAS","COLGRA","COLHET","COLLINSIA","COLSPA","CRACON","CROSCO","CRYPTANTHA","CYNGRA","DAUPUS","DESDAN","DICFOR","DICVOL","DIPCAP","EMMPEN","EPIBRA","EPIMIN","ERICAL","ERIDAS","ERILAN","ERINUD","EROBOT","EROCIC","EROMOS","ESCCAE","FESBRO","FESMIC","FESMYU","FESOCT","FESTUCA","GALAPA","GALMUR","GALPAR","GALPOR","GASPHL","GERDIS","GERMOL","GILCAP","GITSPE","GRASS_UNK","HELCAL","HESMIC","HYPGLA","KOEMAC","LACSER","LATVES","LEPBIC","LOGFIL","LOGGAL","LOMCAL","LOMUTR","LUPNAN","LUPSUC","MADELE","MADGRA","MADIA","MADSAT","MARFAB","MARWAT","MEDPOL","MELICA","MELIMP","MELTOR","MICCAL","MONVIL","NEMHET","NEMMEN","PELAND","PELMUC","PENTRI","PHADIS","PHAIMB","PHALARIS","PIPERIA","PLAERE","PLECTRITIS","POASEC","PRIHEN","RAFCAL","RANHEB","RIBMAL","SALCOL","SANBIP","SANCRA","SCRCAL","SENVUL","SILANT","SILGAL","SILMAR","SOLXAN","SONASP","SONOLE","STAALB","STARIG","STEMED","STILEP","STIPUL","STRGLA","SYMALB","SYMMOL","THYCUR","TORARV","TORNOD","TOXFRE","TRIBIF","TRICIL","TRIFOLIUM","TRIHIR","TRILAX","TRIMIC","TRIMIC2","TRIWIL","unknown_forb","UROLIN","WYEANG","YABMIC","ACMGLA","ADFA","MIMAUR","LEPCAL","HEAR","TOXDIV","QUWI","FRADIP","CEACUN","QUEBER","CEAOLI","ARCMAN","HOLDIS","CERBET","RHAILI"
"1","CCC004_2021",1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,11,0.3,0,0,0,0,0,0,0,0,0,0,2.8,0,0,1.4,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,12.3,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.5,0,0,0,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,6.1,2,0,0,0,3.2,0,0,0,0
"2","CCC011_2022",0.1,0,0.1,18.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,89,0,0,0,4,17.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.4,0,0,2,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,26,0,0.8,0,0,6.7,0,0,0,0,24,0,0,0,0,0.1,1.2,0,0,0,85,0,0,0,1,0.1,0,0,5,0,0,4,0,0,5.5,0,0,0,0,0,0,0,0,0,1.5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.9,0,0,0,0,0,13,0,6.5,77.2,0,0,0,20,0,0,0,0,0,0,0,0,0
"3","COL014_2022",1,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,50,0,0,0.1,0,0,0,24.3,0,0,0,0.1,0,0,0,0,22,0,0,0,0,0,92.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,158,0,0,30.2,0,0.6,0,0,0,0,0,0,0,0,0,2.5,0,2,0,0,0,0.2,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0.2,0,10.5,0,0,0,6,0,0,0,0,0,0,7,0,2.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,139,0,0,0,0,0
"4","BOB012_2022",0,18,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0,0,85,0,0,0,0,88,0,7,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.3,0,0,0,0.1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1.6,0,1,1,3,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","BOB001_2022",0,0,0.3,68,0,0,0,0,0,0,0,0,0,0,0,11,0,70.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,0,0,100,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.05,0,23.1,0,0,0,0.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","BOB004_2022",0,0,15,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,12,160.1,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","BOB004_2021",0,0,0.1,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,5.9,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,45.2,0,0,0,0,0.5,0.5,0,0,0,0,0,2.1,0,0,0,0,0,0,0,18.8,0,0,0,0,0.2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","BOB005_2022",0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,0,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,100,0,0,0,0,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","BOB005_2021",0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,1.3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.21,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","BOB006_2022",0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,30.1,0,6,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,195,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
