"","PlotID","year","quad","native.nonnative","richness","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"1","BOB001","2021","Q1","NATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"2","BOB001","2021","Q1","NONNATIVE_RICHNESS",7,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"3","BOB001","2021","Q2","NATIVE_RICHNESS",5,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"4","BOB001","2021","Q2","NONNATIVE_RICHNESS",7,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"5","BOB001","2021","Q3","NATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"6","BOB001","2021","Q3","NONNATIVE_RICHNESS",7,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"7","BOB001","2021","Q4","NATIVE_RICHNESS",3,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"8","BOB001","2021","Q4","NONNATIVE_RICHNESS",9,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"9","BOB001","2021","Q5","NATIVE_RICHNESS",3,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"10","BOB001","2021","Q5","NONNATIVE_RICHNESS",8,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"11","BOB001","2022","Q1","NATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"12","BOB001","2022","Q1","NONNATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"13","BOB001","2022","Q2","NATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"14","BOB001","2022","Q2","NONNATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"15","BOB001","2022","Q3","NATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"16","BOB001","2022","Q3","NONNATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"17","BOB001","2022","Q4","NATIVE_RICHNESS",4,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"18","BOB001","2022","Q4","NONNATIVE_RICHNESS",7,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"19","BOB001","2022","Q5","NATIVE_RICHNESS",3,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"20","BOB001","2022","Q5","NONNATIVE_RICHNESS",5,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"21","BOB002","2021","Q1","NATIVE_RICHNESS",6,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"22","BOB002","2021","Q1","NONNATIVE_RICHNESS",7,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"23","BOB002","2021","Q2","NATIVE_RICHNESS",4,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"24","BOB002","2021","Q2","NONNATIVE_RICHNESS",10,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"25","BOB002","2021","Q3","NATIVE_RICHNESS",6,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"26","BOB002","2021","Q3","NONNATIVE_RICHNESS",6,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"27","BOB002","2021","Q4","NATIVE_RICHNESS",5,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"28","BOB002","2021","Q4","NONNATIVE_RICHNESS",7,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"29","BOB002","2021","Q5","NATIVE_RICHNESS",3,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"30","BOB002","2021","Q5","NONNATIVE_RICHNESS",7,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"31","BOB002","2022","Q1","NATIVE_RICHNESS",7,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"32","BOB002","2022","Q1","NONNATIVE_RICHNESS",10,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"33","BOB002","2022","Q2","NATIVE_RICHNESS",5,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"34","BOB002","2022","Q2","NONNATIVE_RICHNESS",8,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"35","BOB002","2022","Q3","NATIVE_RICHNESS",5,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"36","BOB002","2022","Q3","NONNATIVE_RICHNESS",9,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"37","BOB002","2022","Q4","NATIVE_RICHNESS",3,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"38","BOB002","2022","Q4","NONNATIVE_RICHNESS",10,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"39","BOB002","2022","Q5","NATIVE_RICHNESS",4,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"40","BOB002","2022","Q5","NONNATIVE_RICHNESS",5,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"41","BOB003","2021","Q1","NATIVE_RICHNESS",5,3,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.3075,3.075
