"","plot_year","spp","cover"
"1","BOB001_2021","ACMGLA",1.18
"2","BOB001_2021","ACMWRA",1.92
"3","BOB001_2021","ADFA",1.2
"4","BOB001_2021","ASTGAM",0.1
"5","BOB001_2021","EMMPEN",0.12
"6","BOB001_2021","ERICAL",6.2
"7","BOB001_2021","TRIMIC",2.74
"8","BOB001_2021","UROLIN",0.02
"9","BOB001_2022","ACMBRA",0.06
"10","BOB001_2022","ACMGLA",0.4
"11","BOB001_2022","ACMWRA",13.6
"12","BOB001_2022","ASTGAM",2.2
"13","BOB001_2022","ERICAL",23.4
"14","BOB001_2022","TRIBIF",0.1
"15","BOB001_2022","TRIMIC",4.62
"16","BOB001_2022","UROLIN",0.02
"17","BOB002_2021","ACMGLA",0.1
"18","BOB002_2021","ACMWRA",0.4
"19","BOB002_2021","ADFA",0.4
"20","BOB002_2021","ALLGIL",0.3
"21","BOB002_2021","ASTGAM",0.18
"22","BOB002_2021","CALBRE",0.92
"23","BOB002_2021","CHLPOM",6.6
"24","BOB002_2021","EMMPEN",0.36
"25","BOB002_2021","FESOCT",0.02
"26","BOB002_2021","NEMHET",1.6
"27","BOB002_2021","TRIMIC",0.06
"28","BOB002_2022","ACMWRA",0.01
"29","BOB002_2022","ALLGIL",0.06
"30","BOB002_2022","CALBRE",0
"31","BOB002_2022","CALMEN",0.01
"32","BOB002_2022","CHLPOM",7.61
"33","BOB002_2022","CYNGRA",0
"34","BOB002_2022","DAUPUS",0.02
"35","BOB002_2022","EMMPEN",0.02
"36","BOB002_2022","GALAPA",0.02
"37","BOB002_2022","MARWAT",0.4
"38","BOB002_2022","MIMAUR",1.2
"39","BOB002_2022","PHADIS",0.4
"40","BOB002_2022","RANHEB",0.02
"41","BOB002_2022","SANCRA",0
"42","BOB002_2022","TRIBIF",0.01
"43","BOB002_2022","TRILAX",0
"44","BOB002_2022","TRIMIC",0.01
"45","BOB003_2021","ALLGIL",0.02
"46","BOB003_2021","CALBRE",2.3
"47","BOB003_2021","CHLPOM",5.2
"48","BOB003_2021","CRACON",0.02
"49","BOB003_2021","EMMPEN",0.14
"50","BOB003_2021","FESOCT",0.8
"51","BOB003_2021","HESMIC",0.02
"52","BOB003_2021","LEPCAL",3.2
"53","BOB003_2021","MARFAB",1.6
"54","BOB003_2021","NEMHET",11.82
"55","BOB003_2021","TRIMIC",0.3
"56","BOB003_2022","ACMGLA",0.01
"57","BOB003_2022","ADFA",0.2
"58","BOB003_2022","ALLGIL",0.2
"59","BOB003_2022","AMSMEN",0.8
"60","BOB003_2022","CALBRE",0.8
"61","BOB003_2022","CHLPOM",7.04
"62","BOB003_2022","CRACON",0.24
"63","BOB003_2022","DAUPUS",0.12
"64","BOB003_2022","EMMPEN",0.02
"65","BOB003_2022","EPIBRA",0.2
"66","BOB003_2022","MARFAB",0.4
"67","BOB003_2022","MARWAT",0.2
"68","BOB003_2022","PENTRI",0.2
"69","BOB003_2022","RANHEB",0.01
"70","BOB003_2022","THYCUR",0.66
"71","BOB003_2022","TRIMIC",0.02
"72","BOB004_2021","ACMBRA",0.02
"73","BOB004_2021","ACMGLA",0.08
"74","BOB004_2021","ADFA",8.5
"75","BOB004_2021","ALLGIL",0.52
"76","BOB004_2021","CALBRE",0.1
"77","BOB004_2021","CHLPOM",0.4
"78","BOB004_2021","CRACON",0.16
"79","BOB004_2021","ERILAN",0.08
"80","BOB004_2021","FESOCT",0.1
"81","BOB004_2021","LOGFIL",0.04
"82","BOB004_2022","ACMBRA",3
"83","BOB004_2022","ACMGLA",2.4
"84","BOB004_2022","ADFA",32.02
"85","BOB004_2022","ALLGIL",0.02
"86","BOB004_2022","CHLPOM",1.42
"87","BOB004_2022","CRYPTANTHA",0.02
"88","BOB004_2022","ERICAL",1
"89","BOB005_2021","ACMBRA",0.26
"90","BOB005_2021","ACMGLA",6.242
"91","BOB005_2021","ADFA",3
"92","BOB005_2021","CHLPOM",4.4
"93","BOB005_2021","MADGRA",0.02
"94","BOB005_2022","ACMBRA",1.8
"95","BOB005_2022","ADFA",7.2
"96","BOB005_2022","ASTGAM",0.2
"97","BOB005_2022","CHLPOM",2
"98","BOB005_2022","CRACON",0.01
"99","BOB005_2022","ERICAL",5
"100","BOB005_2022","UROLIN",0.32
"101","BOB006_2021","ACMGLA",0.5
"102","BOB006_2021","ACMWRA",1.34
"103","BOB006_2021","ASTGAM",1.1
"104","BOB006_2021","CALBRE",0.12
"105","BOB006_2021","ERICAL",6.9
"106","BOB006_2021","LUPNAN",0.04
"107","BOB006_2022","ACMBRA",2
"108","BOB006_2022","ACMGLA",1.6
"109","BOB006_2022","ACMWRA",0.6
"110","BOB006_2022","ASTGAM",6.02
"111","BOB006_2022","ERICAL",8.8
"112","BOB007_2021","ADFA",1
"113","BOB007_2021","AMSMEN",0.06
"114","BOB007_2021","CALPUR",1.6
"115","BOB007_2021","CLAPAR",0.1
"116","BOB007_2021","DICVOL",1.4
"117","BOB007_2021","ESCCAE",0.4
"118","BOB007_2021","FESMIC",0.12
"119","BOB007_2021","GALAPA",0.04
"120","BOB007_2021","GALPOR",0.1
"121","BOB007_2021","HEAR",1.2
"122","BOB007_2021","LEPCAL",11.8
"123","BOB007_2021","MADGRA",0.2
"124","BOB007_2021","RANHEB",0.86
"125","BOB007_2021","TOXDIV",6.4
"126","BOB007_2021","TOXFRE",0.88
"127","BOB007_2022","ADFA",4
"128","BOB007_2022","AMSMEN",2.04
"129","BOB007_2022","DAUPUS",0.02
"130","BOB007_2022","GALAPA",0.3
"131","BOB007_2022","HEAR",4
"132","BOB007_2022","LEPCAL",30
"133","BOB007_2022","MADGRA",0.7
"134","BOB007_2022","MADSAT",0.3
"135","BOB007_2022","RANHEB",0.6
"136","BOB007_2022","TOXDIV",13.6
"137","BOB007_2022","TOXFRE",1.42
"138","BOB008_2021","ADFA",0.2
"139","BOB008_2021","ANTVEX",0.08
"140","BOB008_2021","CALPUR",1.32
"141","BOB008_2021","CLAPAR",3.1
"142","BOB008_2021","CLELAS",3.6
"143","BOB008_2021","DICVOL",0.56
"144","BOB008_2021","GALAPA",0.18
"145","BOB008_2021","LEPCAL",0.08
"146","BOB008_2021","NEMHET",2.3
"147","BOB008_2021","NEMMEN",0.2
"148","BOB008_2021","POASEC",0.22
"149","BOB008_2021","QUWI",0.06
"150","BOB008_2021","RANHEB",0.1
"151","BOB008_2021","SYMMOL",1.3
"152","BOB008_2021","TOXDIV",1.2
"153","BOB008_2021","TOXFRE",1.92
"154","BOB008_2021","TRILAX",0.14
"155","BOB008_2022","ACMWRA",0.02
"156","BOB008_2022","ADFA",0.2
"157","BOB008_2022","CALAMA",0.2
"158","BOB008_2022","CALPUR",0.7
"159","BOB008_2022","CAROLI",0.02
"160","BOB008_2022","CLAPAR",0.7
"161","BOB008_2022","CLELAS",6
"162","BOB008_2022","DAUPUS",0.06
"163","BOB008_2022","FESMIC",0.8
"164","BOB008_2022","FRADIP",1.6
"165","BOB008_2022","GALAPA",2.4
"166","BOB008_2022","KOEMAC",0.4
"167","BOB008_2022","LEPCAL",17
"168","BOB008_2022","MADGRA",0.3
"169","BOB008_2022","NEMHET",15
"170","BOB008_2022","RANHEB",0.2
"171","BOB008_2022","SANCRA",0.04
