"","plot_yr_quad","AIRCAR","LYSARV","AVEBAR","BRADIS","BRODIA","BROHOR","BROMAD","CARPYC","CENMEL","CERGLO","EROBOT","EROCIC","EROMOS","FESBRO","FESMYU","GALMUR","GALPAR","GASPHL","GERDIS","GERMOL","HYPGLA","LACSER","LOGGAL","MEDPOL","SENVUL","SILGAL","SILMAR","SONASP","SONOLE","STEMED","TORARV","TORNOD","TRIHIR"
"1","CCC010_2021 Q1",0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","CCC010_2021 Q2",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CCC010_2021 Q3",0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","CCC010_2021 Q4",0,0,0,0,0,0,0.3,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.5,0,0
"5","CCC010_2021 Q5",0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2.5,0,0,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0
"6","QUA022_2022 Q1",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0
"7","QUA022_2022 Q2",0,0,0.2,0,0,1,0,0,0,0,0,0,0,0,4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","QUA022_2022 Q3",1.5,0,4,0,0,4,6,0,0,0,0,0,0,0,30,0,0,0,0,3.5,0,2,3,1.5,0,0,0,0,0,0,0,1.9,0
"9","QUA022_2022 Q4",0,0,0,0,0,0,0,0,0,0,0,20,0,0,40,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
"10","QUA022_2022 Q5",0,0.5,8,0,6,10,0,6,3,0,0,0,0,0,40,0,0,0,0,0,2,0,0.2,0,0.3,0,0,0,1.5,0,0,1.5,0
"11","BOB002_2022 Q1",0,0,15,0,0,0,2,3,2,0,0,2,0,0,1,0,0,0,0,0,3,0,0.05,0,0.05,0,0,0,0,0,0,0,0
"12","BOB002_2022 Q2",0,0,98,0,0,0,0,1,0.05,0,0,1,0,0,25,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5
"13","BOB002_2022 Q3",0,0,47,0,0,0,1,0.05,10,0,0,0,0,0,40,0,0,0,0,0,0.5,0,0,0,0.05,0,0,0,0,0,0,0,0.05
"14","BOB002_2022 Q4",0,0,60,0,0,0,4,1,2,0,0,1,0,0,30,0,0,0,0,0,7,0,0,0,0.05,0,0,0,0,0,0,0,0.05
"15","BOB002_2022 Q5",0,0,90,0,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"16","COL018_2021 Q1",0,0,15,0,0,0,0,0,0,0,0,2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","COL018_2021 Q2",0,0.1,3,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","COL018_2021 Q3",0,0,2,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"19","COL018_2021 Q4",0,0,15,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
"20","COL018_2021 Q5",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"21","QUA001_2021 Q1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","QUA001_2021 Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"23","QUA001_2021 Q3",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
