"","PlotID","year","spp","density","density_250m","num_burn","cool.warm_slope","Mean_diam_cm","mean_diam_mm","Lifeform","Native_nonnative","fac.obl"
"1","BOB001","2022","ACMGLA",0.2,50,5,"cool",0.2425,2.425,"SH","native","OBL-S"
"2","BOB001","2022","ERICAL",3.6,900,5,"cool",0.2425,2.425,"SH","native","FAC"
"3","BOB003","2022","ACMGLA",0.6,150,5,"cool",0.3075,3.075,"SH","native","OBL-S"
"4","BOB004","2021","ACMGLA",0.4,100,5,"warm",0.1975,1.975,"SH","native","OBL-S"
"5","BOB004","2021","ADFA",0.8,200,5,"warm",0.1975,1.975,"SH","native","FAC"
"6","BOB004","2022","ACMGLA",3.01,752.5,5,"warm",0.1975,1.975,"SH","native","OBL-S"
"7","BOB004","2022","ADFA",0.6,150,5,"warm",0.1975,1.975,"SH","native","FAC"
"8","BOB005","2022","ERICAL",2.2,550,5,"warm",0.21,2.1,"SH","native","FAC"
"9","BOB006","2022","ACMGLA",0.4,100,5,"warm",0.169444444444444,1.69444444444444,"SH","native","OBL-S"
"10","BOB006","2022","ERICAL",4.2,1050,5,"warm",0.169444444444444,1.69444444444444,"SH","native","FAC"
"11","BOB008","2021","COMP_unk_SUBSH",1.6,400,3,"cool",0.3125,3.125,NA,NA,NA
"12","BOB009","2021","ACMGLA",1.72,430,3,"warm",0.1325,1.325,"SH","native","OBL-S"
"13","BOB009","2022","ERICAL",2.4,600,3,"warm",0.1325,1.325,"SH","native","FAC"
"14","BOB010","2021","ACMGLA",0.2,50,3,"warm",0.1175,1.175,"SH","native","OBL-S"
"15","BOB010","2022","ADFA",0,0,3,"warm",0.1175,1.175,"SH","native","FAC"
"16","BOB010","2022","ERICAL",0.4,100,3,"warm",0.1175,1.175,"SH","native","FAC"
"17","BOB011","2022","ACMGLA",0.2,50,4,"warm",0.1375,1.375,"SH","native","OBL-S"
"18","BOB012","2021","ACMGLA",0.2,50,4,"warm",0.1025,1.025,"SH","native","OBL-S"
"19","BOB012","2022","ERICAL",0.6,150,4,"warm",0.1025,1.025,"SH","native","FAC"
"20","BOB014","2021","ACMGLA",0.2,50,4,"cool",0.178125,1.78125,"SH","native","OBL-S"
"21","BOB014","2021","CEACUN",1.2,300,4,"cool",0.178125,1.78125,"SH","native","OBL-S"
"22","BOB014","2021","ERICAL",0.8,200,4,"cool",0.178125,1.78125,"SH","native","FAC"
"23","BOB014","2021","LEPCAL",0.6,150,4,"cool",0.178125,1.78125,"SH","native","FAC"
"24","BOB014","2022","ERICAL",0.2,50,4,"cool",0.178125,1.78125,"SH","native","FAC"
"25","BOB014","2022","LEPCAL",0.2,50,4,"cool",0.178125,1.78125,"SH","native","FAC"
"26","BOB015","2022","ERICAL",0.4,100,4,"cool",0.122222222222222,1.22222222222222,"SH","native","FAC"
"27","BOB015","2022","LEPCAL",0.2,50,4,"cool",0.122222222222222,1.22222222222222,"SH","native","FAC"
"28","BOB016","2021","ERICAL",0.2,50,4,"cool",0.1125,1.125,"SH","native","FAC"
"29","BOB016","2022","ERICAL",0.4,100,4,"cool",0.1125,1.125,"SH","native","FAC"
"30","BOB017","2021","ERICAL",0.2,50,4,"warm",0.11,1.1,"SH","native","FAC"
"31","BOB017","2022","ERICAL",18.6,4650,4,"warm",0.11,1.1,"SH","native","FAC"
"32","BOB018","2021","ACMGLA",0.8,200,3,"warm",0.125,1.25,"SH","native","OBL-S"
"33","BOB018","2022","ADFA",0.2,50,3,"warm",0.125,1.25,"SH","native","FAC"
"34","BOB018","2022","ERICAL",7.4,1850,3,"warm",0.125,1.25,"SH","native","FAC"
"35","BOB019","2022","LEPCAL",8.6,2150,5,"cool",NA,NA,"SH","native","FAC"
"36","CCC001","2021","CEAOLI",5,1250,1,"cool",0.655,6.55,"SH","native","OBL-S"
"37","CCC001","2021","ERICAL",0.2,50,1,"cool",0.655,6.55,"SH","native","FAC"
"38","CCC001","2021","QUWI",0.4,100,1,"cool",0.655,6.55,"TR","native","OBL-R"
"39","CCC001","2022","QUWI",0.4,100,1,"cool",0.655,6.55,"TR","native","OBL-R"
"40","CCC002","2021","ARCMAN",0.4,100,1,"cool",0.28,2.8,"SH","native","OBL-S"
"41","CCC002","2021","ERICAL",0.2,50,1,"cool",0.28,2.8,"SH","native","FAC"
"42","CCC002","2021","QUWI",0.2,50,1,"cool",0.28,2.8,"TR","native","OBL-R"
"43","CCC002","2022","HOLDIS",0.6,150,1,"cool",0.28,2.8,"SH","native","FAC"
"44","CCC002","2022","QUWI",0.2,50,1,"cool",0.28,2.8,"TR","native","OBL-R"
"45","CCC003","2021","ADFA",0.4,100,1,"warm",2.285,22.85,"SH","native","FAC"
"46","CCC003","2021","CEACUN",3.2,800,1,"warm",2.285,22.85,"SH","native","OBL-S"
"47","CCC003","2021","ERICAL",0.2,50,1,"warm",2.285,22.85,"SH","native","FAC"
"48","CCC003","2022","ACMGLA",2.2,550,1,"warm",2.285,22.85,"SH","native","OBL-S"
"49","CCC003","2022","ADFA",5.2,1300,1,"warm",2.285,22.85,"SH","native","FAC"
"50","CCC003","2022","CEACUN",5,1250,1,"warm",2.285,22.85,"SH","native","OBL-S"
"51","CCC003","2022","ERICAL",4.6,1150,1,"warm",2.285,22.85,"SH","native","FAC"
"52","CCC004","2021","CEAOLI",14.8,3700,1,"cool",1.3275,13.275,"SH","native","OBL-S"
"53","CCC004","2021","ERICAL",1.2,300,1,"cool",1.3275,13.275,"SH","native","FAC"
"54","CCC004","2021","LEPCAL",13.6,3400,1,"cool",1.3275,13.275,"SH","native","FAC"
"55","CCC004","2022","LEPCAL",0.6,150,1,"cool",1.3275,13.275,"SH","native","FAC"
"56","CCC004","2022","QUWI",1,250,1,"cool",1.3275,13.275,"TR","native","OBL-R"
"57","CCC005","2021","ACMGLA",1.2,300,1,"warm",1.1,11,"SH","native","OBL-S"
"58","CCC005","2021","ADFA",0.4,100,1,"warm",1.1,11,"SH","native","FAC"
"59","CCC005","2021","ERICAL",0.6,150,1,"warm",1.1,11,"SH","native","FAC"
"60","CCC005","2021","LEPCAL",0.2,50,1,"warm",1.1,11,"SH","native","FAC"
"61","CCC005","2022","ACMGLA",4.8,1200,1,"warm",1.1,11,"SH","native","OBL-S"
"62","CCC005","2022","ADFA",3.8,950,1,"warm",1.1,11,"SH","native","FAC"
"63","CCC005","2022","CEACUN",0.4,100,1,"warm",1.1,11,"SH","native","OBL-S"
"64","CCC005","2022","ERICAL",0.4,100,1,"warm",1.1,11,"SH","native","FAC"
"65","CCC005","2022","LEPCAL",0.6,150,1,"warm",1.1,11,"SH","native","FAC"
"66","CCC006","2021","ACMGLA",0.2,50,1,"warm",1.3725,13.725,"SH","native","OBL-S"
"67","CCC006","2021","CEACUN",1.2,300,1,"warm",1.3725,13.725,"SH","native","OBL-S"
"68","CCC006","2022","CEACUN",0.6,150,1,"warm",1.3725,13.725,"SH","native","OBL-S"
"69","CCC006","2022","ERICAL",0.2,50,1,"warm",1.3725,13.725,"SH","native","FAC"
"70","CCC007","2022","ERICAL",0.6,150,7,"warm",0.245,2.45,"SH","native","FAC"
"71","CCC008","2021","ACMGLA",2.8,700,7,"warm",0.3625,3.625,"SH","native","OBL-S"
"72","CCC008","2021","ADFA",0.2,50,7,"warm",0.3625,3.625,"SH","native","FAC"
"73","CCC008","2022","ACMGLA",0.6,150,7,"warm",0.3625,3.625,"SH","native","OBL-S"
"74","CCC008","2022","ADFA",0.6,150,7,"warm",0.3625,3.625,"SH","native","FAC"
"75","CCC008","2022","ERICAL",0.4,100,7,"warm",0.3625,3.625,"SH","native","FAC"
"76","CCC009","2021","ACMGLA",2.4,600,7,"warm",0.2925,2.925,"SH","native","OBL-S"
"77","CCC009","2022","ACMGLA",1.8,450,7,"warm",0.2925,2.925,"SH","native","OBL-S"
"78","CCC009","2022","ERICAL",0.4,100,7,"warm",0.2925,2.925,"SH","native","FAC"
"79","CCC010","2021","ERICAL",1.2,300,7,"cool",0.3425,3.425,"SH","native","FAC"
"80","CCC010","2022","MIMAUR",0.2,50,7,"cool",0.3425,3.425,"SH","native","FAC"
"81","CCC011","2021","ACMGLA",1.4,350,7,"cool",0.315,3.15,"SH","native","OBL-S"
"82","CCC011","2021","CEACUN",0.2,50,7,"cool",0.315,3.15,"SH","native","OBL-S"
"83","CCC011","2021","CERBET",0.2,50,7,"cool",0.315,3.15,"SH","native","OBL-R"
"84","CCC011","2022","ACMGLA",10.4,2600,7,"cool",0.315,3.15,"SH","native","OBL-S"
"85","CCC011","2022","ADFA",1.2,300,7,"cool",0.315,3.15,"SH","native","FAC"
"86","CCC011","2022","ERICAL",0.2,50,7,"cool",0.315,3.15,"SH","native","FAC"
"87","COL007","2022","ERICAL",0.4,100,3,"warm",NA,NA,"SH","native","FAC"
"88","COL007","2022","LEPCAL",0.2,50,3,"warm",NA,NA,"SH","native","FAC"
"89","COL012","2021","ACMGLA",2.6,650,3,"cool",0.271428571428571,2.71428571428571,"SH","native","OBL-S"
"90","COL012","2021","ERICAL",0.8,200,3,"cool",0.271428571428571,2.71428571428571,"SH","native","FAC"
"91","COL012","2022","ACMGLA",0.2,50,3,"cool",0.271428571428571,2.71428571428571,"SH","native","OBL-S"
"92","COL012","2022","ERICAL",1.6,400,3,"cool",0.271428571428571,2.71428571428571,"SH","native","FAC"
"93","COL013","2021","ACMGLA",0.2,50,3,"warm",0.34,3.4,"SH","native","OBL-S"
