"","PlotID","year","spp","seed.resprout","density","density_250m"
"1","BOB001","2022","ACMGLA","SEEDLING",0.2,50
"2","BOB001","2022","ERICAL","RESPROUT",1.4,350
"3","BOB001","2022","ERICAL","SEEDLING",3.6,900
"4","BOB002","2022","MIMAUR","RESPROUT",0.2,50
"5","BOB003","2022","ACMGLA","SEEDLING",0.6,150
"6","BOB003","2022","ADFA","RESPROUT",2,500
"7","BOB004","2021","ACMGLA","SEEDLING",0.4,100
"8","BOB004","2021","ADFA","SEEDLING",0.8,200
"9","BOB004","2022","ACMGLA","SEEDLING",3.01,752.5
"10","BOB004","2022","ADFA","RESPROUT",3.8,950
"11","BOB004","2022","ADFA","SEEDLING",0.6,150
"12","BOB004","2022","ERICAL","RESPROUT",0.2,50
"13","BOB005","2022","ADFA","RESPROUT",1.2,300
"14","BOB005","2022","ERICAL","SEEDLING",2.2,550
"15","BOB006","2022","ACMGLA","SEEDLING",0.4,100
"16","BOB006","2022","ERICAL","RESPROUT",0.6,150
"17","BOB006","2022","ERICAL","SEEDLING",4.2,1050
"18","BOB007","2022","HEAR","RESPROUT",0.2,50
"19","BOB007","2022","LEPCAL","RESPROUT",1.8,450
"20","BOB008","2021","COMP","unk",0.2,50
"21","BOB008","2021","COMP","unk",1.6,400
"22","BOB008","2022","FRADIP","RESPROUT",0.4,100
"23","BOB008","2022","LEPCAL","RESPROUT",1,250
"24","BOB009","2021","ACMGLA","SEEDLING",1.72,430
"25","BOB009","2022","ADFA","RESPROUT",0.2,50
"26","BOB009","2022","ERICAL","RESPROUT",1,250
"27","BOB009","2022","ERICAL","SEEDLING",2.4,600
"28","BOB010","2021","ACMGLA","SEEDLING",0.2,50
"29","BOB010","2022","ADFA","RESPROUT",0.8,200
"30","BOB010","2022","ADFA","SEEDLING",0,0
"31","BOB010","2022","ERICAL","RESPROUT",0.2,50
"32","BOB010","2022","ERICAL","SEEDLING",0.4,100
"33","BOB011","2022","ACMGLA","SEEDLING",0.2,50
"34","BOB012","2021","ACMGLA","SEEDLING",0.2,50
"35","BOB012","2022","ADFA","RESPROUT",0.2,50
"36","BOB012","2022","ERICAL","RESPROUT",0.4,100
"37","BOB012","2022","ERICAL","SEEDLING",0.6,150
"38","BOB013","2022","LEPCAL","RESPROUT",0.4,100
"39","BOB014","2021","ACMGLA","SEEDLING",0.2,50
"40","BOB014","2021","CEACUN","SEEDLING",1.2,300
"41","BOB014","2021","ERICAL","SEEDLING",0.8,200
