"","PlotID","year","quad","native.nonnative","shanDiv","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"1","BOB001","2021","Q1","NATIVE_shanDiv",0.172663312846104,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"2","BOB001","2021","Q1","NONNATIVE_shanDiv",1.25478232374335,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"3","BOB001","2021","Q2","NATIVE_shanDiv",0.133614138314376,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"4","BOB001","2021","Q2","NONNATIVE_shanDiv",1.49207981318128,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"5","BOB001","2021","Q3","NATIVE_shanDiv",0.189919563986125,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"6","BOB001","2021","Q3","NONNATIVE_shanDiv",1.39134107552494,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"7","BOB001","2021","Q4","NATIVE_shanDiv",0.216957020139899,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"8","BOB001","2021","Q4","NONNATIVE_shanDiv",1.52048566920119,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"9","BOB001","2021","Q5","NATIVE_shanDiv",0.144206963691899,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"10","BOB001","2021","Q5","NONNATIVE_shanDiv",1.3877126629978,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"11","BOB001","2022","Q1","NATIVE_shanDiv",0.132552361538487,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"12","BOB001","2022","Q1","NONNATIVE_shanDiv",1.07326979599039,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"13","BOB001","2022","Q2","NATIVE_shanDiv",1.0506379993014,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"14","BOB001","2022","Q2","NONNATIVE_shanDiv",1.16476949262685,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"15","BOB001","2022","Q3","NATIVE_shanDiv",1.18729917615101,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"16","BOB001","2022","Q3","NONNATIVE_shanDiv",0.725479889087184,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"17","BOB001","2022","Q4","NATIVE_shanDiv",0.929661529563119,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"18","BOB001","2022","Q4","NONNATIVE_shanDiv",1.23242406696939,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"19","BOB001","2022","Q5","NATIVE_shanDiv",0.82722870136718,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"20","BOB001","2022","Q5","NONNATIVE_shanDiv",1.26651250900046,1,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.2425,2.425
"21","BOB002","2021","Q1","NATIVE_shanDiv",0.51033266717568,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"22","BOB002","2021","Q1","NONNATIVE_shanDiv",1.48413721410951,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"23","BOB002","2021","Q2","NATIVE_shanDiv",0.366492310463045,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"24","BOB002","2021","Q2","NONNATIVE_shanDiv",1.61184503459867,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"25","BOB002","2021","Q3","NATIVE_shanDiv",0.197754238428656,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"26","BOB002","2021","Q3","NONNATIVE_shanDiv",1.35517225657037,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"27","BOB002","2021","Q4","NATIVE_shanDiv",0.167204801073995,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"28","BOB002","2021","Q4","NONNATIVE_shanDiv",1.39011972546354,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"29","BOB002","2021","Q5","NATIVE_shanDiv",0.102482217546717,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"30","BOB002","2021","Q5","NONNATIVE_shanDiv",1.54046655369297,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"31","BOB002","2022","Q1","NATIVE_shanDiv",0.278475005215654,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"32","BOB002","2022","Q1","NONNATIVE_shanDiv",1.48099598634958,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
"33","BOB002","2022","Q2","NATIVE_shanDiv",0.0115173215665215,2,"Bobcat","5","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.22,2.2
