"","PlotID","year","spp","seed.resprout","cover"
"1","BOB001","2021","ADFA","SEEDLING",1.2
"2","BOB001","2021","ERICAL","SEEDLING",6.2
"3","BOB001","2022","ACMGLA","SEEDLING",0.4
"4","BOB001","2022","ERICAL","RESPROUT",18.2
"5","BOB001","2022","ERICAL","SEEDLING",5.2
"6","BOB002","2021","ADFA","SEEDLING",0.4
"7","BOB002","2022","MIMAUR","RESPROUT",1.2
"8","BOB003","2022","ACMGLA","SEEDLING",0.01
"9","BOB003","2022","ADFA","RESPROUT",0.2
"10","BOB004","2021","ACMGLA","SEEDLING",0.08
"11","BOB004","2021","ADFA","RESPROUT",7.8
"12","BOB004","2021","ADFA","SEEDLING",0.7
"13","BOB004","2022","ACMGLA","SEEDLING",2.4
"14","BOB004","2022","ADFA","RESPROUT",31
"15","BOB004","2022","ADFA","SEEDLING",1.02
"16","BOB004","2022","ERICAL","RESPROUT",1
"17","BOB005","2021","ADFA","SEEDLING",3
"18","BOB005","2022","ADFA","RESPROUT",7.2
"19","BOB005","2022","ERICAL","SEEDLING",5
"20","BOB006","2022","ACMGLA","SEEDLING",1.6
"21","BOB006","2022","ERICAL","RESPROUT",2
"22","BOB006","2022","ERICAL","SEEDLING",6.8
"23","BOB007","2022","ADFA","RESPROUT",4
"24","BOB007","2022","HEAR","RESPROUT",4
"25","BOB007","2022","LEPCAL","RESPROUT",30
"26","BOB008","2021","COMP","unk",2.4
"27","BOB008","2021","COMP","unk",0.08
"28","BOB008","2021","QUWI","RESPROUT",0.06
"29","BOB008","2022","ADFA","RESPROUT",0.2
"30","BOB008","2022","FRADIP","RESPROUT",1.6
"31","BOB008","2022","LEPCAL","RESPROUT",13
"32","BOB008","2022","LEPCAL","UNBURNT",4
"33","BOB009","2021","ACMGLA","SEEDLING",0.22
"34","BOB009","2021","ADFA","RESPROUT",7.8
"35","BOB009","2022","ADFA","RESPROUT",2
"36","BOB009","2022","ERICAL","RESPROUT",10.6
"37","BOB009","2022","ERICAL","SEEDLING",0.41
"38","BOB010","2021","ACMGLA","SEEDLING",0.02
"39","BOB010","2021","ADFA","RESPROUT",4.8
"40","BOB010","2022","ADFA","RESPROUT",7.4
"41","BOB010","2022","ADFA","SEEDLING",0
"42","BOB010","2022","ERICAL","RESPROUT",4
"43","BOB010","2022","ERICAL","SEEDLING",0.2
"44","BOB011","2021","ACMGLA","SEEDLING",0.8
"45","BOB011","2021","ADFA","RESROUT",3.8
"46","BOB011","2022","ACMGLA","SEEDLING",2.2
"47","BOB011","2022","ADFA","RESPROUT",0.04
"48","BOB012","2021","ACMGLA","SEEDLING",0.02
"49","BOB012","2021","ADFA","RESPROUT",5.2
"50","BOB012","2022","ADFA","RESPROUT",3
"51","BOB012","2022","ERICAL","RESPROUT",15
"52","BOB012","2022","ERICAL","SEEDLING",2
"53","BOB013","2021","ACMWRA","SEEDLING",0.5
"54","BOB013","2022","LEPCAL","RESPROUT",3.8
"55","BOB014","2021","ACMGLA","SEEDLING",0.06
"56","BOB014","2021","CEACUN","SEEDLING",0.06
"57","BOB014","2021","ERICAL","SEEDLING",0.08
"58","BOB014","2021","HEAR","RESPROUT",2
"59","BOB014","2021","LEPCAL","RESPROUT",1.4
"60","BOB014","2021","LEPCAL","SEEDLING",0.4
"61","BOB014","2021","QUBE","RESPROUT",2.6
"62","BOB014","2022","ADFA","RESPROUT",1.1
"63","BOB014","2022","ERICAL","SEEDLING",0.6
"64","BOB014","2022","HEAR","RESPROUT",4
"65","BOB014","2022","LEPCAL","RESPROUT",12
"66","BOB014","2022","LEPCAL","SEEDLING",0.4
"67","BOB014","2022","QUBE","RESPROUT",7
"68","BOB014","2022","TOXDIV","RESPROUT",3
"69","BOB015","2021","ADFA","RESPROUT",2.6
"70","BOB015","2022","ADFA","RESPROUT",1.2
"71","BOB015","2022","ERICAL","RESPROUT",0
"72","BOB015","2022","ERICAL","SEEDLING",1
"73","BOB015","2022","HEAR","RESPROUT",1
"74","BOB015","2022","LEPCAL","RESPROUT",30.4
"75","BOB015","2022","LEPCAL","SEEDLING",0.2
"76","BOB016","2021","ERICAL","RESPROUT",5.6
"77","BOB016","2021","ERICAL","SEEDLING",0.04
"78","BOB016","2021","HEAR","RESPROUT",1
"79","BOB016","2021","LEPCAL","RESPROUT",8.8
"80","BOB016","2022","ADFA","RESPROUT",0.02
"81","BOB016","2022","ERICAL","RESPROUT",8.2
"82","BOB016","2022","ERICAL","SEEDLING",0.3
"83","BOB016","2022","LEPCAL","RESPROUT",14.8
"84","BOB017","2021","ERICAL","RESPROUT",9
"85","BOB017","2021","ERICAL","SEEDLING",3
"86","BOB017","2022","ADFA","RESPROUT",3.4
