"","PlotID","year","spp","seed.resprout","density","density_ha"
"1","BOB001","2022","ACMGLA","SEEDLING",0.2,2000
"2","BOB001","2022","ERICAL","RESPROUT",1.4,14000
"3","BOB001","2022","ERICAL","SEEDLING",3.6,36000
"4","BOB002","2022","MIMAUR","RESPROUT",0.2,2000
"5","BOB003","2022","ACMGLA","SEEDLING",0.6,6000
"6","BOB003","2022","ADFA","RESPROUT",2,20000
"7","BOB004","2021","ACMGLA","SEEDLING",0.4,4000
"8","BOB004","2021","ADFA","SEEDLING",0.8,8000
"9","BOB004","2022","ACMGLA","SEEDLING",3.01,30100
"10","BOB004","2022","ADFA","RESPROUT",3.8,38000
"11","BOB004","2022","ADFA","SEEDLING",0.6,6000
"12","BOB004","2022","ERICAL","RESPROUT",0.2,2000
"13","BOB005","2022","ADFA","RESPROUT",1.2,12000
"14","BOB005","2022","ERICAL","SEEDLING",2.2,22000
"15","BOB006","2022","ACMGLA","SEEDLING",0.4,4000
"16","BOB006","2022","ERICAL","RESPROUT",0.6,6000
"17","BOB006","2022","ERICAL","SEEDLING",4.2,42000
"18","BOB007","2022","HEAR","RESPROUT",0.2,2000
"19","BOB007","2022","LEPCAL","RESPROUT",1.8,18000
"20","BOB008","2021","COMP","unk",0.2,2000
"21","BOB008","2021","COMP","unk",1.6,16000
"22","BOB008","2022","FRADIP","RESPROUT",0.4,4000
"23","BOB008","2022","LEPCAL","RESPROUT",1,10000
"24","BOB009","2021","ACMGLA","SEEDLING",1.72,17200
"25","BOB009","2022","ADFA","RESPROUT",0.2,2000
"26","BOB009","2022","ERICAL","RESPROUT",1,10000
"27","BOB009","2022","ERICAL","SEEDLING",2.4,24000
"28","BOB010","2021","ACMGLA","SEEDLING",0.2,2000
"29","BOB010","2022","ADFA","RESPROUT",0.8,8000
"30","BOB010","2022","ADFA","SEEDLING",0,0
"31","BOB010","2022","ERICAL","RESPROUT",0.2,2000
"32","BOB010","2022","ERICAL","SEEDLING",0.4,4000
"33","BOB011","2022","ACMGLA","SEEDLING",0.2,2000
"34","BOB012","2021","ACMGLA","SEEDLING",0.2,2000
"35","BOB012","2022","ADFA","RESPROUT",0.2,2000
"36","BOB012","2022","ERICAL","RESPROUT",0.4,4000
"37","BOB012","2022","ERICAL","SEEDLING",0.6,6000
"38","BOB013","2022","LEPCAL","RESPROUT",0.4,4000
"39","BOB014","2021","ACMGLA","SEEDLING",0.2,2000
"40","BOB014","2021","CEACUN","SEEDLING",1.2,12000
"41","BOB014","2021","ERICAL","SEEDLING",0.8,8000
"42","BOB014","2021","LEPCAL","SEEDLING",0.6,6000
"43","BOB014","2022","ADFA","RESPROUT",0.4,4000
"44","BOB014","2022","ERICAL","SEEDLING",0.2,2000
"45","BOB014","2022","HEAR","RESPROUT",0.6,6000
"46","BOB014","2022","LEPCAL","RESPROUT",1,10000
"47","BOB014","2022","LEPCAL","SEEDLING",0.2,2000
"48","BOB014","2022","QUBE","RESPROUT",0.4,4000
"49","BOB014","2022","TOXDIV","RESPROUT",0.6,6000
"50","BOB015","2022","ADFA","RESPROUT",0.2,2000
"51","BOB015","2022","ERICAL","RESPROUT",0,0
"52","BOB015","2022","ERICAL","SEEDLING",0.4,4000
"53","BOB015","2022","HEAR","RESPROUT",0.2,2000
"54","BOB015","2022","LEPCAL","RESPROUT",5.6,56000
"55","BOB015","2022","LEPCAL","SEEDLING",0.2,2000
"56","BOB016","2021","ERICAL","SEEDLING",0.2,2000
"57","BOB016","2022","ADFA","RESPROUT",0.2,2000
"58","BOB016","2022","ERICAL","RESPROUT",0.4,4000
"59","BOB016","2022","ERICAL","SEEDLING",0.4,4000
"60","BOB016","2022","LEPCAL","RESPROUT",2.4,24000
"61","BOB017","2021","ERICAL","SEEDLING",0.2,2000
"62","BOB017","2022","ADFA","RESPROUT",0.2,2000
"63","BOB017","2022","ERICAL","RESPROUT",0.4,4000
"64","BOB017","2022","ERICAL","SEEDLING",18.6,186000
"65","BOB018","2021","ACMGLA","SEEDLING",0.8,8000
"66","BOB018","2022","ADFA","RESPROUT",0.6,6000
"67","BOB018","2022","ADFA","SEEDLING",0.2,2000
"68","BOB018","2022","ERICAL","RESPROUT",0.2,2000
"69","BOB018","2022","ERICAL","SEEDLING",7.4,74000
"70","BOB019","2022","LEPCAL","RESPROUT",0.4,4000
"71","BOB019","2022","LEPCAL","SEEDLING",8.6,86000
"72","CCC001","2021","CEAOLI","SEEDLING",5,50000
"73","CCC001","2021","ERICAL","SEEDLING",0.2,2000
"74","CCC001","2021","QUWI","SEEDLING",0.4,4000
"75","CCC001","2022","QUWI","RESPROUT",0.4,4000
"76","CCC001","2022","QUWI","SEEDLING",0.4,4000
"77","CCC002","2021","ARCMAN","SEEDLING",0.4,4000
"78","CCC002","2021","ERICAL","SEEDLING",0.2,2000
"79","CCC002","2021","QUWI","SEEDLING",0.2,2000
"80","CCC002","2022","HOLDIS","SEEDLING",0.6,6000
"81","CCC002","2022","QUWI","RESPROUT",0.6,6000
"82","CCC002","2022","QUWI","SEEDLING",0.2,2000
"83","CCC003","2021","ADFA","SEEDLING",0.4,4000
"84","CCC003","2021","CEACUN","SEEDLING",3.2,32000
"85","CCC003","2021","ERICAL","SEEDLING",0.2,2000
"86","CCC003","2022","ACMGLA","SEEDLING",2.2,22000
"87","CCC003","2022","ADFA","RESPROUT",0.4,4000
"88","CCC003","2022","ADFA","SEEDLING",5.2,52000
"89","CCC003","2022","CEACUN","SEEDLING",5,50000
"90","CCC003","2022","ERICAL","SEEDLING",4.6,46000
"91","CCC004","2021","CEAOLI","SEEDLING",14.8,148000
"92","CCC004","2021","ERICAL","SEEDLING",1.2,12000
"93","CCC004","2021","LEPCAL","SEEDLING",13.6,136000
"94","CCC004","2022","LEPCAL","SEEDLING",0.6,6000
"95","CCC004","2022","QUWI","RESPROUT",0.2,2000
"96","CCC004","2022","QUWI","SEEDLING",1,10000
"97","CCC005","2021","ACMGLA","SEEDLING",1.2,12000
"98","CCC005","2021","ADFA","SEEDLING",0.4,4000
"99","CCC005","2021","ERICAL","SEEDLING",0.6,6000
"100","CCC005","2021","LEPCAL","SEEDLING",0.2,2000
"101","CCC005","2022","ACMGLA","SEEDLING",4.8,48000
"102","CCC005","2022","ADFA","SEEDLING",3.8,38000
"103","CCC005","2022","CEACUN","SEEDLING",0.4,4000
"104","CCC005","2022","ERICAL","SEEDLING",0.4,4000
"105","CCC005","2022","LEPCAL","SEEDLING",0.6,6000
"106","CCC006","2021","ACMGLA","SEEDLING",0.2,2000
"107","CCC006","2021","CEACUN","SEEDLING",1.2,12000
"108","CCC006","2022","ADFA","RESPROUT",0.6,6000
"109","CCC006","2022","CEACUN","SEEDLING",0.6,6000
"110","CCC006","2022","ERICAL","SEEDLING",0.2,2000
"111","CCC007","2022","ERICAL","SEEDLING",0.6,6000
"112","CCC007","2022","TOXDIV","RESPROUT",0.2,2000
"113","CCC008","2021","ACMGLA","SEEDLING",2.8,28000
"114","CCC008","2021","ADFA","SEEDLING",0.2,2000
"115","CCC008","2022","ACMGLA","SEEDLING",0.6,6000
"116","CCC008","2022","ADFA","RESPROUT",0.6,6000
"117","CCC008","2022","ADFA","SEEDLING",0.6,6000
"118","CCC008","2022","ERICAL","SEEDLING",0.4,4000
"119","CCC009","2021","ACMGLA","SEEDLING",2.4,24000
"120","CCC009","2022","ACMGLA","SEEDLING",1.8,18000
"121","CCC009","2022","ADFA","RESPROUT",0.6,6000
"122","CCC009","2022","ERICAL","RESPROUT",0.2,2000
"123","CCC009","2022","ERICAL","SEEDLING",0.4,4000
"124","CCC010","2021","ERICAL","SEEDLING",1.2,12000
"125","CCC010","2022","MIMAUR","RESPROUT",0.4,4000
"126","CCC010","2022","MIMAUR","SEEDLING",0.2,2000
"127","CCC010","2022","QUWI","RESPROUT",0.2,2000
"128","CCC010","2022","TOXDIV","RESPROUT",0.2,2000
"129","CCC011","2021","ACMGLA","SEEDLING",1.4,14000
"130","CCC011","2021","CEACUN","SEEDLING",0.2,2000
"131","CCC011","2021","CERBET","SEEDLING",0.2,2000
"132","CCC011","2022","ACMGLA","SEEDLING",10.4,104000
"133","CCC011","2022","ADFA","RESPROUT",1.2,12000
"134","CCC011","2022","ADFA","SEEDLING",1.2,12000
"135","CCC011","2022","ERICAL","RESPROUT",0.6,6000
"136","CCC011","2022","ERICAL","SEEDLING",0.2,2000
"137","CCC011","2022","TOXDIV","RESPROUT",10.4,104000
"138","CCC012","2022","RHAILI","RESPROUT",0.2,2000
"139","CCC012","2022","TOXDIV","RESPROUT",0.2,2000
"140","COL007","2022","ADFA","RESPROUT",0.2,2000
"141","COL007","2022","ERICAL","SEEDLING",0.4,4000
"142","COL007","2022","LEPCAL","RESPROUT",0.2,2000
"143","COL007","2022","LEPCAL","SEEDLING",0.2,2000
"144","COL007","2022","MIMAUR","RESPROUT",0.2,2000
"145","COL012","2021","ACMGLA","SEEDLING",2.6,26000
"146","COL012","2021","ADFA","RESPROUT",0.2,2000
"147","COL012","2021","ERICAL","RESPROUT",0.2,2000
"148","COL012","2021","ERICAL","SEEDLING",0.8,8000
"149","COL012","2022","ACMGLA","SEEDLING",0.2,2000
"150","COL012","2022","ADFA","RESPROUT",0.4,4000
"151","COL012","2022","ERICAL","RESPROUT",0.2,2000
"152","COL012","2022","ERICAL","SEEDLING",1.6,16000
"153","COL013","2021","ACMGLA","SEEDLING",0.2,2000
"154","COL013","2021","ADFA","RESPROUT",0.2,2000
"155","COL013","2021","ERICAL","RESPROUT",1.4,14000
"156","COL013","2021","ERICAL","SEEDLING",0.8,8000
"157","COL013","2022","ACMGLA","SEEDLING",0.4,4000
"158","COL013","2022","ADFA","RESPROUT",0.4,4000
"159","COL013","2022","ERICAL","RESPROUT",0.4,4000
"160","COL013","2022","ERICAL","SEEDLING",1.2,12000
"161","COL013","2022","HEAR","RESPROUT",0.2,2000
"162","COL014","2021","ACMGLA","SEEDLING",0.4,4000
"163","COL014","2021","QUBE","RESPROUT",1.8,18000
"164","COL014","2022","QUBE","RESPROUT",0.6,6000
"165","COL017","2021","ADFA","RESPROUT",0.2,2000
"166","COL017","2021","HEAR","RESPROUT",0.4,4000
"167","COL017","2022","ADFA","RESPROUT",0.2,2000
"168","COL017","2022","HEAR","RESPROUT",0.2,2000
"169","COL017","2022","MIMAUR","RESPROUT",0.2,2000
"170","COL017","2022","QUBE","RESPROUT",0.2,2000
"171","COL018","2021","ERICAL","RESPROUT",0.2,2000
"172","COL018","2021","ERICAL","SEEDLING",0.8,8000
"173","COL018","2022","ERICAL","SEEDLING",1.2,12000
"174","QUA001","2021","ADFA","RESPROUT",0.6,6000
"175","QUA001","2021","ADFA","SEEDLING",0.4,4000
"176","QUA001","2021","LEPCAL","SEEDLING",1,10000
"177","QUA002","2021","ADFA","RESPROUT",0.4,4000
"178","QUA002","2021","ERICAL","RESPROUT",0.2,2000
"179","QUA002","2021","ERICAL","SEEDLING",1,10000
"180","QUA002","2022","ACMGLA","SEEDLING",1.4,14000
"181","QUA002","2022","ADFA","RESPROUT",0.4,4000
"182","QUA002","2022","ERICAL","RESPROUT",0.6,6000
"183","QUA002","2022","ERICAL","SEEDLING",0.4,4000
"184","QUA002","2022","LEPCAL","SEEDLING",1.4,14000
"185","QUA003","2021","ADFA","SEEDLING",0.4,4000
"186","QUA003","2022","ACMGLA","SEEDLING",0.8,8000
"187","QUA004","2021","ADFA","RESPROUT",0.4,4000
"188","QUA004","2021","CEACUN","SEEDLING",0.2,2000
"189","QUA004","2022","ACMGLA","SEEDLING",0.2,2000
