"","plot_year","ADFA_RESPROUT","COMP_unk_SUBSH_RESPROUT","ERICAL_RESPROUT","FRADIP_RESPROUT","HEAR_RESPROUT","LEPCAL_RESPROUT","MIMAUR_RESPROUT","QUBE_RESPROUT","QUWI_RESPROUT","RHAILI_RESPROUT","TOXDIV_RESPROUT","ACMGLA_SEEDLING","ADFA_SEEDLING","ARCMAN_SEEDLING","CEACUN_SEEDLING","CEAOLI_SEEDLING","CERBET_SEEDLING","COMP_unk_SUBSH_SEEDLING","ERICAL_SEEDLING","HOLDIS_SEEDLING","LEPCAL_SEEDLING","MIMAUR_SEEDLING","QUWI_SEEDLING","TOXDIV_SEEDLING"
"1","QUA016_2021",0,0,0,0,0,0,0,0,0,0,0,2000,10000,0,12000,0,0,0,0,0,8000,0,0,0
"2","COL013_2021",2000,0,14000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,8000,0,0,0,0,0
"3","COL012_2021",2000,0,2000,0,0,0,0,0,0,0,0,26000,0,0,0,0,0,0,16000,0,0,0,0,0
"4","QUA004_2021",4000,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0
"5","QUA001_2021",6000,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,10000,0,0,0
"6","QUA005_2021",2000,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,8000,0,0,0,0,0
"7","BOB018_2022",6000,0,2000,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,74000,0,0,0,0,0
"8","BOB010_2022",8000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0
"9","CCC011_2022",12000,0,6000,0,0,0,0,0,0,0,104000,104000,12000,0,0,0,0,0,2000,0,0,0,0,0
"10","BOB005_2022",12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000,0,0,0,0,0
"11","CCC006_2022",6000,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,2000,0,0,0,0,0
"12","QUA005_2022",2000,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,14000,0,0,0,0,0
"13","BOB009_2022",2000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0
"14","BOB017_2022",2000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186000,0,0,0,0,0
"15","CCC008_2022",6000,0,0,0,0,0,0,0,0,0,0,6000,6000,0,0,0,0,0,4000,0,0,0,0,0
"16","CCC009_2022",6000,0,2000,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,4000,0,0,0,0,0
"17","BOB004_2022",38000,0,2000,0,0,0,0,0,0,0,0,30100,6000,0,0,0,0,0,0,0,0,0,0,0
"18","QUA002_2022",4000,0,6000,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,8000,0,14000,0,0,0
"19","QUA008_2022",0,0,0,0,0,0,0,0,0,0,0,26000,20000,0,0,0,0,0,0,0,0,0,0,0
"20","QUA020_2021",4000,0,0,0,0,0,0,0,0,0,0,6000,64000,0,38000,0,4000,0,0,0,0,0,0,2000
"21","BOB014_2022",4000,0,0,0,6000,10000,0,4000,0,0,6000,0,0,0,0,0,0,0,2000,0,2000,0,0,0
"22","QUA020_2022",4000,0,0,0,0,0,0,0,0,0,0,4000,12000,0,6000,0,0,0,0,0,0,0,0,0
"23","QUA002_2021",4000,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0
"24","BOB012_2022",2000,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0
"25","QUA009_2022",6000,0,0,0,0,0,0,0,0,0,0,28000,36000,0,0,0,0,0,0,0,0,0,0,0
"26","COL012_2022",4000,0,2000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,16000,0,0,0,0,0
"27","COL013_2022",4000,0,4000,0,2000,0,0,0,0,0,0,4000,0,0,0,0,0,0,12000,0,0,0,0,0
"28","QUA011_2022",4000,0,0,0,0,0,0,0,0,0,0,8000,60000,0,0,0,0,0,0,0,0,0,0,0
"29","QUA022_2022",2000,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0
"30","BOB016_2022",2000,0,4000,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0
"31","QUA006_2022",2000,0,0,0,0,0,0,0,0,0,6000,0,2000,0,0,0,0,0,0,0,12000,0,0,0
"32","QUA015_2021",2000,0,0,0,0,0,0,0,0,0,0,0,34000,0,2000,2000,0,0,0,0,0,0,0,0
"33","BOB003_2022",20000,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0
"34","BOB015_2022",2000,0,0,0,2000,56000,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,2000,0,0,0
"35","COL017_2021",2000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","COL017_2022",2000,0,0,0,2000,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","QUA004_2022",2000,0,0,0,0,0,0,0,0,0,0,2000,4000,0,2000,0,0,0,0,0,0,0,0,0
"38","QUA010_2022",2000,0,0,0,0,0,0,0,0,0,0,58000,4000,0,0,0,0,0,0,0,0,0,0,0
"39","COL007_2022",2000,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,4000,0,2000,0,0,0
"40","CCC003_2022",4000,0,0,0,0,0,0,0,0,0,0,22000,52000,0,50000,0,0,0,46000,0,0,0,0,0
"41","BOB008_2021",0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16000,0,0,0,0,0,0
"42","COL018_2021",0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0
"43","QUA015_2022",0,0,2000,0,0,0,0,0,0,0,0,32000,12000,0,8000,0,0,0,10000,0,0,2000,0,0
"44","BOB006_2022",0,0,6000,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,42000,0,0,0,0,0
"45","BOB001_2022",0,0,14000,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,36000,0,0,0,0,0
"46","BOB008_2022",0,0,0,4000,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","BOB007_2022",0,0,0,0,2000,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","BOB019_2022",0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000,0,0,0
"49","BOB013_2022",0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","CCC010_2022",0,0,0,0,0,0,4000,0,2000,0,2000,0,0,0,0,0,0,0,0,0,0,2000,0,0
"51","BOB002_2022",0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","COL014_2021",0,0,0,0,0,0,0,18000,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0
"53","COL014_2022",0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","CCC001_2022",0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0
"55","CCC004_2022",0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,6000,0,10000,0
"56","QUA021_2022",0,0,0,0,0,0,0,0,2000,0,12000,0,2000,0,4000,0,0,0,0,0,36000,0,0,0
"57","CCC002_2022",0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,6000,0,0,2000,0
"58","CCC012_2022",0,0,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","QUA025_2022",0,0,0,0,0,0,0,0,0,0,2000,6000,24000,0,0,0,0,0,0,0,2000,0,0,0
"60","CCC007_2022",0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,6000,0,0,0,0,0
"61","CCC005_2022",0,0,0,0,0,0,0,0,0,0,0,48000,38000,0,4000,0,0,0,4000,0,6000,0,0,0
"62","CCC011_2021",0,0,0,0,0,0,0,0,0,0,0,14000,0,0,2000,0,2000,0,0,0,0,0,0,0
"63","CCC008_2021",0,0,0,0,0,0,0,0,0,0,0,28000,2000,0,0,0,0,0,0,0,0,0,0,0
"64","QUA003_2022",0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0
"65","BOB004_2021",0,0,0,0,0,0,0,0,0,0,0,4000,8000,0,0,0,0,0,0,0,0,0,0,0
"66","BOB010_2021",0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
"67","BOB011_2022",0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
"68","CCC009_2021",0,0,0,0,0,0,0,0,0,0,0,24000,0,0,0,0,0,0,0,0,0,0,0,0
"69","BOB018_2021",0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0
"70","BOB012_2021",0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,0,0,0,0,0,0,0
"71","CCC006_2021",0,0,0,0,0,0,0,0,0,0,0,2000,0,0,12000,0,0,0,0,0,0,0,0,0
"72","CCC005_2021",0,0,0,0,0,0,0,0,0,0,0,12000,4000,0,0,0,0,0,6000,0,2000,0,0,0
"73","BOB009_2021",0,0,0,0,0,0,0,0,0,0,0,17200,0,0,0,0,0,0,0,0,0,0,0,0
"74","QUA024_2022",0,0,0,0,0,0,0,0,0,0,0,48000,0,0,0,0,0,0,0,0,2000,0,0,0
"75","BOB014_2021",0,0,0,0,0,0,0,0,0,0,0,2000,0,0,12000,0,0,0,8000,0,6000,0,0,0
"76","QUA006_2021",0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0,0,0,0,0,0,0
"77","CCC003_2021",0,0,0,0,0,0,0,0,0,0,0,0,4000,0,32000,0,0,0,2000,0,0,0,0,0
"78","QUA021_2021",0,0,0,0,0,0,0,0,0,0,0,0,6000,0,14000,4000,0,0,0,0,46000,0,0,0
"79","QUA022_2021",0,0,0,0,0,0,0,0,0,0,0,0,2000,0,2000,2000,0,0,0,0,0,0,0,0
"80","QUA010_2021",0,0,0,0,0,0,0,0,0,0,0,0,36000,0,0,0,0,0,0,0,0,0,0,0
"81","QUA009_2021",0,0,0,0,0,0,0,0,0,0,0,0,14000,0,0,0,0,0,0,0,0,0,0,0
"82","QUA011_2021",0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0
"83","QUA008_2021",0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0
"84","QUA003_2021",0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,0,0,0,0,0,0,0
"85","CCC002_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0,0,0,2000,0,0,0,2000,0
"86","CCC001_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50000,0,0,2000,0,0,0,4000,0
"87","CCC004_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148000,0,0,12000,0,136000,0,0,0
"88","QUA016_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,4000,4000,0,0
"89","COL018_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0
"90","CCC010_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0,0,0
"91","BOB016_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0
"92","BOB017_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0
