"","PlotID","year","spp","SEEDLING.RESPROUT","num_burn","cool.warm_slope","Lifeform","Native_nonnative","fac.obl","plotid_time","species_type","n_species","n_species_native.non","n_species_lifeform"
"1","BOB002",2021,"ACHMIL","",5,"cool","FB","native","","BOB002 5 cool 2021","ACHMIL_",39,24,30
"2","BOB006",2022,"ACHMIL","",5,"warm","FB","native","","BOB006 5 warm 2022","ACHMIL_",20,11,13
"3","BOB007",2021,"ACHMIL","",3,"cool","FB","native","","BOB007 3 cool 2021","ACHMIL_",50,34,36
"4","BOB007",2022,"ACHMIL","",3,"cool","FB","native","","BOB007 3 cool 2022","ACHMIL_",51,35,38
"5","BOB008",2021,"ACHMIL","",3,"cool","FB","native","","BOB008 3 cool 2021","ACHMIL_",37,25,24
"6","CCC002",2021,"ACHMIL","",1,"cool","FB","native","","CCC002 1 cool 2021","ACHMIL_",41,34,26
"7","CCC002",2022,"ACHMIL","",1,"cool","FB","native","","CCC002 1 cool 2022","ACHMIL_",53,39,41
"8","CCC004",2021,"ACHMIL","",1,"cool","FB","native","","CCC004 1 cool 2021","ACHMIL_",42,34,27
"9","CCC007",2022,"ACHMIL","",7,"warm","FB","native","","CCC007 7 warm 2022","ACHMIL_",41,32,29
"10","CCC010",2021,"ACHMIL","",7,"cool","FB","native","","CCC010 7 cool 2021","ACHMIL_",55,43,37
"11","CCC010",2022,"ACHMIL","",7,"cool","FB","native","","CCC010 7 cool 2022","ACHMIL_",51,36,36
"12","CCC011",2021,"ACHMIL","",7,"cool","FB","native","","CCC011 7 cool 2021","ACHMIL_",50,40,38
"13","CCC011",2022,"ACHMIL","",7,"cool","FB","native","","CCC011 7 cool 2022","ACHMIL_",49,40,36
"14","CCC012",2021,"ACHMIL","",7,"cool","FB","native","","CCC012 7 cool 2021","ACHMIL_",52,41,38
"15","CCC012",2022,"ACHMIL","",7,"cool","FB","native","","CCC012 7 cool 2022","ACHMIL_",36,25,29
"16","COL007",2022,"ACHMIL","",3,"warm","FB","native","","COL007 3 warm 2022","ACHMIL_",41,32,26
"17","COL012",2021,"ACHMIL","",3,"cool","FB","native","","COL012 3 cool 2021","ACHMIL_",47,35,37
"18","COL012",2022,"ACHMIL","",3,"cool","FB","native","","COL012 3 cool 2022","ACHMIL_",43,34,31
