"","PlotID","spp","status","prefire_ht_m","postfire_ht_m","diam_largest_stem_cm","year","obs"
"1","BOB001","ACMGLA","D","0.43","","0.9",2021,"HDS"
"2","BOB001","ACMGLA","D","0.25","","0.6",2021,"HDS"
"3","BOB001","ACMGLA","D","0.19","","0.6",2021,"HDS"
"4","BOB001","ACMGLA","D","0.73","","0.7",2021,"HDS"
"5","BOB001","ACMGLA","L","0.75","0.35","0.6",2021,"HDS"
"6","BOB001","ACMGLA","D","0.3","","0.5",2021,"HDS"
"7","BOB001","ACMGLA","D","0.58","","0.7",2021,"HDS"
"8","BOB001","ACMGLA","D","0.28","","1.2",2021,"HDS"
"9","BOB005","ACMGLA","L","0.57","0.25","0.3",2021,"HDS"
"10","BOB006","ACMGLA","L","0.35","0.15","0.4",2021,"HDS"
"11","BOB006","ACMGLA","D","0.37","","0.3",2021,"HDS"
"12","BOB006","ACMGLA","D","0.3","","0.3",2021,"HDS"
"13","BOB006","ACMGLA","D","0.52","","0.3",2021,"HDS"
"14","BOB009","ACMGLA","D","0.35","","0.2",2021,"HDS"
"15","BOB010","ACMGLA","D","0.12","","0.1",2021,"HDS"
"16","BOB010","ACMGLA","D","0.4","","0.2",2021,"HDS"
"17","BOB010","ACMGLA","D","0.3","","0.2",2021,"HDS"
"18","BOB010","ACMGLA","D","0.14","","0.1",2021,"HDS"
"19","BOB011","ACMGLA","D","0.53","","0.2",2021,"HDS"
"20","BOB012","ACMGLA","D","0.41","","0.3",2021,"HDS"
"21","BOB017","ACMGLA","D","0.33","","0.2",2021,"HDS"
"22","BOB018","ACMGLA","D","0.35","","0.2",2021,"HDS"
"23","BOB001","ADFA","L","0.45","0.32","0.8",2021,"HDS"
"24","BOB001","ADFA","L","0.77","0.28","0.9",2021,"HDS"
"25","BOB001","ADFA","L","0.45","0.3","1",2021,"HDS"
"26","BOB001","ADFA","L","1.3","0.35","1.2",2021,"HDS"
"27","BOB001","ADFA","L","0.9","0.5","1",2021,"HDS"
"28","BOB002","ADFA","D","1.75","","2.7",2021,"HDS"
"29","BOB002","ADFA","L","1.1","0.75","0.8",2021,"HDS"
"30","BOB002","ADFA","L","0.7","0.42","0.9",2021,"HDS"
"31","BOB002","ADFA","L","0.57","0.27","1",2021,"HDS"
"32","BOB002","ADFA","L","0.9","0.37","1.1",2021,"HDS"
"33","BOB002","ADFA","L","0.95","0.29","1.1",2021,"HDS"
"34","BOB002","ADFA","D","1.2","","1.2",2021,"HDS"
"35","BOB002","ADFA","L","1.03","0.48","0.8",2021,"HDS"
"36","BOB002","ADFA","D","2.2","","5.2",2021,"HDS"
"37","BOB002","ADFA","L","0.8","0.4","0.6",2021,"HDS"
"38","BOB002","ADFA","D","0.95","","0.8",2021,"HDS"
"39","BOB002","ADFA","D","3.2","","4.2",2021,"HDS"
"40","BOB002","ADFA","D","2.5","","2.8",2021,"HDS"
"41","BOB002","ADFA","D","1.2","","2.5",2021,"HDS"
"42","BOB002","ADFA","L","1.5","0.45","1.3",2021,"HDS"
"43","BOB002","ADFA","D","1.17","","1.2",2021,"HDS"
"44","BOB002","ADFA","L","0.9","0.26","1",2021,"HDS"
"45","BOB002","ADFA","L","1","0.3","1",2021,"HDS"
"46","BOB002","ADFA","L","0.9","0.17","0.9",2021,"HDS"
"47","BOB002","ADFA","L","0.65","0.4","0.7",2021,"HDS"
"48","BOB002","ADFA","D","2","","3",2021,"HDS"
"49","BOB002","ADFA","L","0.9","0.3","0.5",2021,"HDS"
"50","BOB003","ADFA","D","1.45","","1.1",2021,"HDS"
"51","BOB003","ADFA","L","0.93","0.28","1.1",2021,"HDS"
"52","BOB003","ADFA","D","2.4","","4.3",2021,"HDS"
"53","BOB003","ADFA","L","0.65","0.5","0.8",2021,"HDS"
"54","BOB003","ADFA","L","0.77","0.3","0.6",2021,"HDS"
"55","BOB003","ADFA","D","1.37","","1",2021,"HDS"
"56","BOB003","ADFA","D","1.8","","6.4",2021,"HDS"
"57","BOB003","ADFA","D","0.8","","0.7",2021,"HDS"
"58","BOB003","ADFA","L","0.65","0.4","0.7",2021,"HDS"
"59","BOB003","ADFA","L","1.03","0.3","0.9",2021,"HDS"
"60","BOB003","ADFA","D","0.85","","0.7",2021,"HDS"
"61","BOB003","ADFA","L","0.5","0.3","0.6",2021,"HDS"
"62","BOB003","ADFA","L","0.9","0.45","1",2021,"HDS"
"63","BOB003","ADFA","L","0.8","0.3","0.9",2021,"HDS"
"64","BOB003","ADFA","L","0.9","0.3","0.8",2021,"HDS"
"65","BOB003","ADFA","L","0.95","0.32","0.95",2021,"HDS"
"66","BOB003","ADFA","L","0.42","0.15","0.8",2021,"HDS"
"67","BOB003","ADFA","D","0.87","","1.5",2021,"HDS"
"68","BOB003","ADFA","D","0.75","","1.1",2021,"HDS"
"69","BOB003","ADFA","L","0.58","0.25","0.7",2021,"HDS"
"70","BOB004","ADFA","D","0.4","","0.5",2021,"HDS"
"71","BOB004","ADFA","D","0.75","","0.8",2021,"HDS"
"72","BOB004","ADFA","L","0.85","0.3","1.3",2021,"HDS"
"73","BOB004","ADFA","D","0.5","","0.8",2021,"HDS"
"74","BOB004","ADFA","L","1.12","0.4","1.7",2021,"HDS"
"75","BOB004","ADFA","L","0.32","0.32","0.3",2021,"HDS"
"76","BOB004","ADFA","L","0.6","0.43","0.9",2021,"HDS"
"77","BOB004","ADFA","L","0.9","0.4","0.7",2021,"HDS"
"78","BOB004","ADFA","L","0.7","0.37","0.7",2021,"HDS"
