"","PlotID","year","spp","mean.ht"
"1","BOB003",2022,"ADFA",64
"2","BOB004",2022,"ADFA",71.8
"3","BOB005",2022,"ADFA",47
"4","BOB008",2022,"ADFA",NA
"5","BOB009",2022,"ADFA",90
"6","BOB010",2022,"ADFA",60
"7","BOB011",2022,"ADFA",NA
"8","BOB012",2022,"ADFA",43
"9","BOB014",2022,"ADFA",47
"10","BOB015",2022,"ADFA",66
"11","BOB016",2022,"ADFA",80
"12","BOB017",2022,"ADFA",70
"13","BOB018",2022,"ADFA",60
"14","CCC003",2022,"ADFA",123
"15","CCC006",2022,"ADFA",78
"16","CCC008",2022,"ADFA",82
"17","CCC009",2022,"ADFA",65
"18","CCC011",2022,"ADFA",65
"19","COL007",2022,"ADFA",33
"20","COL012",2022,"ADFA",58
"21","COL013",2021,"ADFA",0.2
"22","COL013",2022,"ADFA",82
"23","COL017",2021,"ADFA",30
"24","COL017",2022,"ADFA",105
"25","QUA002",2021,"ADFA",14
"26","QUA002",2022,"ADFA",102
"27","QUA004",2022,"ADFA",63
"28","QUA005",2022,"ADFA",40
"29","QUA006",2022,"ADFA",70
"30","QUA008",2022,"ADFA",NA
"31","QUA009",2022,"ADFA",64.3333333333333
"32","QUA010",2022,"ADFA",80
"33","QUA011",2022,"ADFA",84.5
"34","QUA015",2022,"ADFA",NA
"35","QUA016",2021,"ADFA",0
"36","QUA016",2022,"ADFA",NA
"37","QUA020",2021,"ADFA",13.5
"38","QUA020",2022,"ADFA",59.5
"39","QUA022",2022,"ADFA",77
"40","QUA024",2022,"ADFA",NA
"41","QUA025",2022,"ADFA",NA
"42","BOB001",2022,"ERICAL",48.5
"43","BOB004",2022,"ERICAL",21
"44","BOB006",2022,"ERICAL",43
"45","BOB009",2022,"ERICAL",48.3333333333333
"46","BOB010",2022,"ERICAL",60
"47","BOB012",2022,"ERICAL",84
"48","BOB015",2022,"ERICAL",NA
"49","BOB016",2022,"ERICAL",46.5
"50","BOB017",2022,"ERICAL",60
"51","BOB018",2022,"ERICAL",48
"52","CCC009",2022,"ERICAL",22
"53","CCC011",2022,"ERICAL",45
"54","COL012",2022,"ERICAL",42
"55","COL013",2021,"ERICAL",9.2
"56","COL013",2022,"ERICAL",32
"57","COL018",2021,"ERICAL",6
"58","QUA002",2022,"ERICAL",31
"59","QUA015",2022,"ERICAL",56
"60","BOB007",2022,"HEAR",78
"61","BOB014",2022,"HEAR",105
"62","BOB015",2022,"HEAR",80
"63","COL013",2022,"HEAR",86.5
"64","COL017",2021,"HEAR",4
"65","COL017",2022,"HEAR",NA
"66","QUA024",2022,"HEAR",NA
"67","BOB007",2022,"LEPCAL",82
"68","BOB008",2022,"LEPCAL",68
"69","BOB013",2022,"LEPCAL",63.5
"70","BOB014",2022,"LEPCAL",61.25
"71","BOB015",2022,"LEPCAL",59.4
"72","BOB016",2022,"LEPCAL",70
"73","BOB019",2022,"LEPCAL",35
"74","COL007",2022,"LEPCAL",36
"75","BOB002",2022,"MIMAUR",58
"76","CCC010",2022,"MIMAUR",50
"77","COL007",2022,"MIMAUR",50
"78","COL017",2022,"MIMAUR",50
"79","CCC012",2022,"RHAILI",80
"80","BOB014",2022,"TOXDIV",25
"81","CCC007",2022,"TOXDIV",51
"82","CCC010",2022,"TOXDIV",23
"83","CCC011",2022,"TOXDIV",15
"84","CCC012",2022,"TOXDIV",12
"85","QUA006",2022,"TOXDIV",6.5
"86","QUA021",2022,"TOXDIV",10
"87","QUA025",2022,"TOXDIV",NA
