PlotID,year,Transect,basal_veg_percent,rock_percent,BG_percent,burrow_percent,litter_percent,Litter_depth_cm,scat_percent,SH_cover_percent,HB_cover_percent,SH_ht_cm,black_ash_percent,white_ash_percent,moss_percent,notes
QUA016,2021,Q1,,2,1,0,97,0.1,0,0,0,0,tr,2,,
QUA022,2021,Q1,2,0.05,93,0,5,0.5,0,0,0,0,tr,0,,
QUA020,2021,Q1,0.1,0.05,80,0,20,0.1,,0,1,0,,0,,
QUA016,2021,Q2,,3,10,0,87,10,0,0,1,0,tr,tr,,
QUA022,2021,Q3,0,3,95,0,2,1,0,0,4,0,1,0,,
COL017,2021,Q5,,2,10,0,88,2,0,0,8,0,0,0,,
QUA001,2021,Q5,,0.05,10,3,90,2,0,0,14,0,na,na,,
COL018,2021,Q1,,2,58,na,40,0.05,na,0,15,0,na,na,,
COL017,2021,Q3,,3,5,0,92,0.05,0,0,15,0,0,0,,
COL007,2021,Q5,,15,70,0,15,3,0,0,16,0,0,0,,
COL007,2021,Q4,,20,78,0,2,2,0,0,18,0,0,0,,
COL014,2021,Q5,,3,2,0,95,0.05,0,0,20,0,tr,tr,,
COL017,2021,Q1,,3,2,0,95,1,0,0,30,0,0,0,,
COL018,2021,Q4,,2,60,na,38,0.5,na,0,40,0,na,na,,
COL018,2021,Q5,,3,5,na,92,0.5,na,0,40,0,na,na,,
COL007,2021,Q1,,5,80,0,15,3,0,0,45,0,tr,0,,
COL012,2021,Q2,,1,94,0,5,0.05,0,30,65,0,0,0,,
CCC004,2021,Q1,0.5,16,82,0,2,0.1,0,1.3,27,0.01,,,,
CCC005,2021,Q5,0,7,75,0,18,0.1,0.1,0.1,,0.01,,,,
CCC005,2021,Q4,3,8,89,0,0,na,0,0.2,0,0.02,,,,
CCC002,2021,Q5,0,12,86,0,2,0.1,0,0.1,6,0.02,,,0,
BOB001,2021,Q3,0,0.5,88,2,12,0.1,0,0.1,18,0.02,,,,
CCC001,2021,Q3,0,0.5,88,2,12,0.1,0,0.1,18,0.02,,,,
BOB001,2021,Q1,5,0,77,14,18,0.1,0,0.1,33,0.02,,,,
CCC001,2021,Q1,5,0,77,14,18,0.1,0,0.1,33,0.02,,,,
CCC008,2021,Q4,3,14,82.5,0,0.5,0.1,0,0.2,5,0.03,,,,
CCC002,2021,Q2,0,0,55,15,30,0.1,0,0.3,7,0.03,,,2,
CCC004,2021,Q4,0,9,89,0,2,0.1,0,1.9,11,0.03,,,,
CCC003,2021,Q2,0.5,30,70,0,0,na,0,0.2,0,0.04,,,,
BOB008,2021,Q3,0,1,88,0,11,0.1,0,0.3,28,0.04,,,,
CCC003,2021,Q4,15,12,66,0,7,0.1,0,0.1,0,0.05,,,,
CCC003,2021,Q3,4,21,75,0,0,na,0,0.7,0,0.05,,,,
BOB001,2021,Q4,0,0,95,15,5,0.1,0.1,0.1,7.5,0.05,,,,
CCC001,2021,Q4,0,0,95,15,5,0.1,0.1,0.1,7.5,0.05,,,,
CCC011,2021,Q5,0,0,74,4,26,0.1,0,0.4,60,0.05,,,,
CCC005,2021,Q2,0,42,58,0,0,na,0,0.5,0.3,0.06,,,,
BOB001,2021,Q2,0,0,83,8,17,0.1,0,2.5,4.8,0.06,,,,
CCC001,2021,Q2,0,0,83,8,17,0.1,0,2.5,4.8,0.06,,,,
BOB008,2021,Q5,0,0.5,97.5,0,2,0.1,0,0.04,18,0.06,,,,
BOB016,2021,Q2,0,0,64,28,36,0.1,0,0.2,60,0.06,,,,
BOB008,2021,Q4,7,7,86,0,5,0.1,0,1,10,0.07,,0.5,,
CCC007,2021,Q5,0,0.5,82,30,18,0.1,0,0.6,42,0.07,,,,
CCC011,2021,Q2,0,0,55,22,45,0.1,0,9,35,0.08,,,3,
CCC010,2021,Q3,2,0,92,0,8,0.1,0,2.1,10,0.09,,,,
CCC005,2021,Q1,0,18,82,0,0,na,0,0.3,0,0.1,,,,
BOB014,2021,Q1,6,0.5,93.5,0,0,na,0,15,8,0.1,,,,
CCC004,2021,Q2,0.3,11,88,6,1,0.1,0,5,10,0.1,,,,
CCC002,2021,Q4,0,2,91,20,7,0.1,0,0.1,12,0.1,,,2,
CCC010,2021,Q1,0,0.5,89.5,0,10,0.1,0.3,1.1,27,0.1,,,,
CCC008,2021,Q5,0,2.5,94.5,0,3,0.1,0,0.2,28,0.1,,,,
BOB018,2021,Q2,1,16,57,0,26,0.1,0,2,60,0.1,,,,
BOB008,2022,Q2,0,0,,0,0.05,0.1,0,5,95,0.1,,,0,
BOB005,2021,Q2,,4,83,0,13,na,0,4,25,0.11,,,,
