Location,OBS,PlotID,Quad (if applicable),Date1,Date2,num_burn,Elevation_m,Belt_info,Transect direction,Aspect_degree,Slope %,cool/warm_slope,fire_preLNU_name,fire_preLNU_year,currentFRI,medianRefFRI,meanPFRID,meanCC_FRI,PFR,2022 notes,2021 notes
Bobcat,HS,BOB001,Q1,4/13/2021,3/25/2022,5,,,,70,31,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB001,Q2,4/13/2021,3/25/2022,5,,,,100,21,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB001,Q3,4/13/2021,3/25/2022,5,,,,100,27,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB001,Q4,4/13/2021,3/25/2022,5,,,,110,27,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB001,Q5,4/13/2021,3/25/2022,5,,,,85,25,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB001,,4/13/2021,3/25/2022,5,370,left downhill,150,93,27,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB002,Q1,4/13/2021,3/18/2022,5,,,,100,57,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB002,Q2,4/13/2021,3/18/2022,5,,,,110,31,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB002,Q3,4/13/2021,3/18/2022,5,,,,100,27,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB002,Q4,4/13/2021,3/18/2022,5,,,,100,36,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB002,Q5,4/13/2021,3/18/2022,5,,,,90,27,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB002,,4/13/2021,3/18/2022,5,370,downhill side,135,100,35,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB003,Q1,4/15/2021,3/18/2022,5,,,,20,17.6,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB003,Q2,4/15/2021,3/18/2022,5,,,,110,47,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB003,Q3,4/15/2021,3/18/2022,5,,,,100,58,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB003,Q4,4/15/2021,3/18/2022,5,,,,100,33,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB003,Q5,4/15/2021,3/18/2022,5,,,,82,40,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB003,,4/15/2021,3/18/2022,5,380,downhill side,150,85,39,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,moved transect back 9 meters,moved transect back 9 meters
Bobcat,HS,BOB004,Q1,4/15/2021,3/18/2022,5,,,,165,27,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB004,Q2,4/15/2021,3/18/2022,5,,,,175,35,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB004,Q3,4/15/2021,3/18/2022,5,,,,200,34,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB004,Q4,4/15/2021,3/18/2022,5,,,,190,35,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB004,Q5,4/15/2021,3/18/2022,5,,,,195,38,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB004,,4/15/2021,3/18/2022,5,386,downhill side,145,185,34,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB005,Q1,4/15/2021,3/25/2022,5,,,,,,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB005,Q2,4/15/2021,3/25/2022,5,,,,,,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB005,Q3,4/15/2021,3/25/2022,5,,,,,,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB005,Q4,4/15/2021,3/25/2022,5,,,,,,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB005,Q5,4/15/2021,3/25/2022,5,,,,,,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB005,,4/15/2021,3/25/2022,5,356,right downhill,140,210,37,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB006,Q1,4/19/2021,3/25/2022,5,,,,195,18,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB006,Q2,4/19/2021,3/25/2022,5,,,,205,36,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB006,Q3,4/19/2021,3/25/2022,5,,,,185,31,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB006,Q4,4/19/2021,3/25/2022,5,,,,195,18,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB006,Q5,4/19/2021,3/25/2022,5,,,,195,30,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB006,,4/19/2021,3/25/2022,5,337,downhill side,174,195,27,warm,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,Q1,4/19/2021,4/3/2022,3,,,,40,73,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,Q2,4/19/2021,4/3/2022,3,,,,25,72,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,Q3,4/19/2021,4/3/2022,3,,,,20,59,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,Q4,4/19/2021,4/3/2022,3,,,,20,63,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,Q5,4/19/2021,4/3/2022,3,,,,35,58,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB007,,4/19/2021,4/3/2022,3,306,right dowhill,40,28,65,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q1,4/19/2021,4/3/2022,3,,,,0,58,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q2,4/19/2021,4/3/2022,3,,,,0,53,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q3,4/19/2021,4/3/2022,3,,,,355,51,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q4,4/19/2021,4/3/2022,3,,,,0,55,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,Q5,4/19/2021,4/3/2022,3,,,,12,40,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,HS,BOB008,,4/19/2021,4/3/2022,3,326,right dowhill,0,1,52,cool,cold,2015,16,59,-70.65,-3,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q1,4/20/2021,3/17/2022,3,,,,155,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q2,4/20/2021,3/17/2022,3,,,,155,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q3,4/20/2021,3/17/2022,3,,,,180,40,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q4,4/20/2021,3/17/2022,3,,,,175,47,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,Q5,4/20/2021,3/17/2022,3,,,,135,40,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB009,,4/20/2021,3/17/2022,3,447,right downhill,120,160,39,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q1,4/20/2021,3/17/2022,3,,,,168,25,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q2,4/20/2021,3/17/2022,3,,,,180,27,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
Bobcat,"HS, RBW",BOB010,Q3,4/20/2021,3/17/2022,3,,,,155,33,warm,cold,2015,19,59,-65.76,-2,chaparral and serotinous conifer,,
