Site,PlotID,num_prior_fires,Burned?,,X,Y,notes
Bobcat,BOB001,5,Yes,10S,579320,4264232,cool
Bobcat,BOB002,5,Yes,10S,579283,4264287,cool
Bobcat,BOB003,5,Yes,10S,579264,4264322,cool
Bobcat,BOB004,5,Yes,10S,579252,4264309,warm
Bobcat,BOB005,5,Yes,10S,579279,4264251,warm
Bobcat,BOB006,5,Yes,10S,579514,4263928,warm
Bobcat,BOB007,3,Yes,10S,579381,4264791,cool
Bobcat,BOB008,3,Yes,10S,579367,4264603,cool
Bobcat,BOB009,3,Yes,10S,578894,4265650,warm
Bobcat,BOB010,3,Yes,10S,578966,4265657,warm
Bobcat,BOB011,4,Yes,10S,578990,4765378,warm
Bobcat,BOB012,4,Yes,10S,579102,4264956,warm
Bobcat,BOB013,4,Yes,10S,579438,4265354,cool
Bobcat,BOB014,4,Yes,10S,579068,4265374,cool
Bobcat,BOB015,4,Yes,10S,579310,4265672,cool
Bobcat,BOB016,4,Yes,10S,579299,4265759,cool
Bobcat,BOB017,4,Yes,10S,579210,4265662,warm
Bobcat,BOB018,3,Yes,10S,579091,4265701,warm
Bobcat,BOB019,5,Yes,10S,579544,4263952,cool
CacheCreek,CCC001,1,Yes,10S,560175,4306482,cool
CacheCreek,CCC002,1,Yes,10S,560963,4305498,cool
CacheCreek,CCC003,1,Yes,10S,560324,4305813,warm
CacheCreek,CCC004,1,Yes,10S,560438,4305606,cool
CacheCreek,CCC005,1,Yes,10S,560926,4305954,warm
CacheCreek,CCC006,1,Yes,10S,560944,4305830,warm
CacheCreek,CCC007,7,Yes,10S,562943,4306461,warm
CacheCreek,CCC008,7,yes,10S,562957,4306570,warm
CacheCreek,CCC009,7,yes,10S,562955,4306666,warm
CacheCreek,CCC010,7,yes,10S,562896,4306856,cool
CacheCreek,CCC011,7,yes,10S,563072,4306823,cool
CacheCreek,CCC012,7,yes,10S,563199,4306955,cool
ColdCanyon,COL014,3,Yes,10S,577719,4262537,cool
ColdCanyon,COL017,3,Yes,10S,577884,4262238,cool
ColdCanyon,COL018,3,Yes,10S,577633,4262156,warm
QuailRidge,QUA001,2,Yes,10S,574101,4262406,warm
QuailRidge,QUA002,2,Yes,10S,574291,4262392,warm
QuailRidge,QUA003,2,Yes,10S,574508,4262387,warm
QuailRidge,QUA004,1,Yes,10S,573887,4260590,warm
ColdCanyon,QUA005,1,Yes,10S,574030,4259707,warm
QuailRidge,QUA006,1,Yes,10S,574243,4259688,warm
ColdCanyon,COL007,3,Yes,10S,577929,4262329,warm
QuailRidge,QUA008,1,Yes,10S,574758,4262818,warm
QuailRidge,QUA009,1,Yes,10S,574650,4262570,warm
QuailRidge,QUA010,2,Yes,10S,574681,4262243,cool
QuailRidge,QUA011,1,Yes,10S,574751,4262041,warm
ColdCanyon,COL012,3,Yes,10S,577912,4262625,cool
ColdCanyon,COL013,3,Yes,10S,577894,4262506,warm
QuailRidge,QUA015,1,Yes,10S,574363,4263082,cool
QuailRidge,QUA016,1,Yes,10S,574355,4263037,cool
QuailRidge,QUA020,1,Yes,10S,574486,4263243,cool
QuailRidge,QUA021,1,Yes,10S,574545,4263235,cool
QuailRidge,QUA022,1,Yes,10S,574523,4263075,cool
QuailRidge,QUA023,2,Yes,10S,573639,4262409,cool
QuailRidge,QUA024,2,Yes,10S,574736,4262145,cool
QuailRidge,QUA025,2,Yes,10S,574654,4262057,cool
