Site,PlotID,num_prior_fires,Burned?,,X,Y,notes,fire_preLNU_name,fire_preLNU_year,currentFRI,medianRefFRI,meanPFRID,meanCC_FRI,PFR,NOTES
Bobcat,BOB001,5,Yes,10S,579320,4264232,cool,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB002,5,Yes,10S,579283,4264287,cool,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB003,5,Yes,10S,579264,4264322,cool,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB004,5,Yes,10S,579252,4264309,warm,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB005,5,Yes,10S,579279,4264251,warm,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB006,5,Yes,10S,579514,4263928,warm,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB007,3,Yes,10S,579381,4264791,cool slope,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB008,3,Yes,10S,579367,4264603,cool slope,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB009,3,Yes,10S,578894,4265650,warm slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,
Bobcat,BOB010,3,Yes,10S,578966,4265657,warm slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,
Bobcat,BOB011,4,Yes,10S,578990,4265378,warm slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,
Bobcat,BOB012,4,Yes,10S,579102,4264956,warm slope,county,2018,16,59,-70.65,-3,chaparral and serotinous conifer,
Bobcat,BOB013,4,Yes,10S,579438,4265354,cool slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,
Bobcat,BOB014,4,Yes,10S,579068,4265374,cool slope,county,2018,19,59,-65.76,-2,chaparral and serotinous conifer,
