NewID	tjm1ID	family	mrt	Exotic/Native	RnA	RnA.original	RnA.source	RnA.notes	genus	Column 2
142	142	Pinaceae	Abies_amabilis	Native	NTm	NTm	T4.fam		Abies	
143	143	Pinaceae	Abies_bracteata	Native	NTm	NTm	T4.fam		Abies	
144	144	Pinaceae	Abies_concolor	Native	NTm	NTm	T4.fam		Abies	
145	145	Pinaceae	Abies_grandis	Native	NTm	NTm	T4.fam		Abies	
146	146	Pinaceae	Abies_lasiocarpa_lasiocarpa	Native	NTm	NTm	T4.fam		Abies	
147	147	Pinaceae	Abies_magnifica	Native	NTm	NTm	T4.fam		Abies	
148	148	Pinaceae	Abies_magnifica_magnifica	Native	NTm	NTm	T4.fam		Abies	
149	149	Pinaceae	Abies_magnifica_shastensis	Native	NTm	NTm	T4.fam		Abies	
150	150	Pinaceae	Abies_procera	Native	NTm	NTm	T4.fam		Abies	
4346	4346	Nyctaginaceae	Abronia_alpina	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4347	4347	Nyctaginaceae	Abronia_gracilis	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
8000	NA	Nyctaginaceae	Abronia_gracilis_platyphilla	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4348	4348	Nyctaginaceae	Abronia_latifolia	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4349	4349	Nyctaginaceae	Abronia_maritima	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4350	4350	Nyctaginaceae	Abronia_nana_covillei	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4351	4351	Nyctaginaceae	Abronia_pogonantha	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4352	4352	Nyctaginaceae	Abronia_turbinata	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4353	4353	Nyctaginaceae	Abronia_umbellata	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4354	4354	Nyctaginaceae	Abronia_umbellata_breviflora	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4355	4355	Nyctaginaceae	Abronia_umbellata_umbellata	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4356	4356	Nyctaginaceae	Abronia_villosa	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4357	4357	Nyctaginaceae	Abronia_villosa_aurita	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
4358	4358	Nyctaginaceae	Abronia_villosa_villosa	Native	WTD	WTD	T8.gen		Abronia	Caryophyllales
8001	NA	Malvaceae	Abutilon_aurantiacum	Native	WTD	WTD	T8.gen		Abutilon	Malvales
4233	4233	Malvaceae	Abutilon_palmeri	Native	WTD	WTD	T8.gen		Abutilon	Malvales
4234	4234	Malvaceae	Abutilon_parvulum	Native	WTD	WTD	T8.gen		Abutilon	Malvales
4235	4235	Malvaceae	Abutilon_theophrasti	Exotic	WTD	WTD	T8.gen		Abutilon	Malvales
3040	3039	Fabaceae	Acacia_baileyana	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3041	3040	Fabaceae	Acacia_cyclops	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3042	3041	Fabaceae	Acacia_dealbata	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3043	3043	Fabaceae	Acacia_elata	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3044	3044	Fabaceae	Acacia_farnesiana_farnesiana	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3045	3045	Fabaceae	Acacia_greggii	Native	WTD	WTD	T8.gen		Acacia	Fabales
3046	3046	Fabaceae	Acacia_longifolia	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3047	3048	Fabaceae	Acacia_melanoxylon	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3048	3049	Fabaceae	Acacia_paradoxa	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3049	3050	Fabaceae	Acacia_pycnantha	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3050	3051	Fabaceae	Acacia_retinodes	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
3051	3052	Fabaceae	Acacia_verticillata	Exotic	WTD	WTD	T8.gen		Acacia	Fabales
5677	5677	Rosaceae	Acaena_novae-zelandiae	Exotic	SAm	SAm	T10		Acaena	Rosales
5678	5678	Rosaceae	Acaena_pinnatifida_californica	Native	SAm	SAm	T10		Acaena	Rosales
2980	2979	Euphorbiaceae	Acalypha_californica	Native	WTD	WTD	T8.gen		Acalypha	Malpighiales
453	453	Asteraceae	Acamptopappus_shockleyi	Native		NotCFP	T11		Acamptopappus	Asterales
454	454	Asteraceae	Acamptopappus_sphaerocephalus	Native		NotCFP	T11		Acamptopappus	Asterales
455	455	Asteraceae	Acamptopappus_sphaerocephalus_hirtellus	Native		NotCFP	T11		Acamptopappus	Asterales
456	456	Asteraceae	Acamptopappus_sphaerocephalus_sphaerocephalus	Native		NotCFP	T11		Acamptopappus	Asterales
3986	3986	Lamiaceae	Acanthomintha_duttonii	Native	CFP	CFP	T6.gen		Acanthomintha	Lamiales
3987	3987	Lamiaceae	Acanthomintha_ilicifolia	Native	CFP	CFP	T6.gen		Acanthomintha	Lamiales
3988	3988	Lamiaceae	Acanthomintha_lanceolata	Native	CFP	CFP	T6.gen		Acanthomintha	Lamiales
3989	3989	Lamiaceae	Acanthomintha_obovata	Native	CFP	CFP	T6.gen		Acanthomintha	Lamiales
3990	3990	Lamiaceae	Acanthomintha_obovata_cordata	Native	CFP	CFP	T6.gen		Acanthomintha	Lamiales
3991	3991	Lamiaceae	Acanthomintha_obovata_obovata	Native	CFP	CFP	T6.gen		Acanthomintha	Lamiales
188	188	Aceraceae	Acer_circinatum	Native	NTm	NTm	T4.fam		Acer	Sapindales
189	189	Aceraceae	Acer_glabrum	Native	NTm	NTm	T4.fam		Acer	Sapindales
190	190	Aceraceae	Acer_glabrum_diffusum	Native	NTm	NTm	T4.fam		Acer	Sapindales
8231	NA	Aceraceae	Acer_glabrum_douglasii	Native	NTm	NTm	T4.fam		Acer	Sapindales
191	191	Aceraceae	Acer_glabrum_greenei	Native	NTm	NTm	T4.fam		Acer	Sapindales
192	192	Aceraceae	Acer_glabrum_torreyi	Native	NTm	NTm	T4.fam		Acer	Sapindales
193	193	Aceraceae	Acer_macrophyllum	Native	NTm	NTm	T4.fam		Acer	Sapindales
194	194	Aceraceae	Acer_negundo_californicum	Native	NTm	NTm	T4.fam		Acer	Sapindales
457	457	Asteraceae	Achillea_millefolium	Native	NTm	NTm	T4.gen		Achillea	Asterales
1626	1625	Berberidaceae	Achlys_californica	Native	NTm	NTm	T4.gen		Achlys	Ranunculales
1627	1626	Berberidaceae	Achlys_triphylla_triphylla	Native	NTm	NTm	T4.gen		Achlys	Ranunculales
7441	7442	Poaceae	Achnatherum_aridum	Native					Achnatherum	Poales
7442	7443	Poaceae	Achnatherum_brachychaetum	Exotic					Achnatherum	Poales
7443	7444	Poaceae	Achnatherum_coronatum	Native					Achnatherum	Poales
7444	7445	Poaceae	Achnatherum_diegoense	Native					Achnatherum	Poales
7445	7446	Poaceae	Achnatherum_hymenoides	Native					Achnatherum	Poales
7446	7447	Poaceae	Achnatherum_latiglume	Native					Achnatherum	Poales
7447	7448	Poaceae	Achnatherum_lemmonii_lemmonii	Native					Achnatherum	Poales
7448	7449	Poaceae	Achnatherum_lettermanii	Native					Achnatherum	Poales
7449	7450	Poaceae	Achnatherum_nelsonii_dorei	Native					Achnatherum	Poales
7450	7451	Poaceae	Achnatherum_nevadense	Native					Achnatherum	Poales
7451	7452	Poaceae	Achnatherum_occidentale	Native					Achnatherum	Poales
7452	7453	Poaceae	Achnatherum_occidentale_californicum	Native					Achnatherum	Poales
7453	7454	Poaceae	Achnatherum_occidentale_occidentale	Native					Achnatherum	Poales
7454	7455	Poaceae	Achnatherum_occidentale_pubescens	Native					Achnatherum	Poales
8232	NA	Poaceae	Achnatherum_occidentalis_occidentalis	Native					Achnatherum	Poales
7455	7456	Poaceae	Achnatherum_parishii	Native					Achnatherum	Poales
7456	7457	Poaceae	Achnatherum_pinetorum	Native					Achnatherum	Poales
7457	7458	Poaceae	Achnatherum_speciosum	Native					Achnatherum	Poales
7458	7459	Poaceae	Achnatherum_stillmanii	Native					Achnatherum	Poales
7459	7460	Poaceae	Achnatherum_thurberianum	Native					Achnatherum	Poales
7460	7461	Poaceae	Achnatherum_webberi	Native					Achnatherum	Poales
